,noun,check
364,{b-v}{a-o}rtn,
365,-,
366,inem,
367,{b-v}{a-o}schl{u-o}ssn,
368,{b-v}{a-o}sche{p-f}tiksste,
369,{b-v}{a-o}leger{u-o}ng,
370,{b-v}{u-o}{k-ch}scht{a-o}{b-v}n,
371,{b-v}{u-o}lg{a-o}rische,
372,sch{p-f}ּr{a-o}ַch,
373,rew{a-o}l{u-o}zie,
374,geschi{k-ch}te,
375,a{p-f}teil{u-o}ng,
376,{b-v}i{a-o}ָl{a-o}ָgische,
377,{p-f}{a-o}ssn,
378,mlchm{u-o}t,
379,neie,
380,{p-f}{a-o}r,
381,gsir{u-o}t,
382,a{u-o}issg{a-o}{b-v}e,
383,{b-v}eil{a-o}ge,
384,{b-v}eilikn,
385,scht{a-o}men,
386,{b-v}ili{a-o}nern,
387,r{a-o}ssen,
388,a{p-f}er{a-o}ַzie,
389,{b-v}issl,
390,{p-f}r{a-o}winz,
391,{b-v}izikletn,
392,{b-v}l{a-o}gss{p-f}ere,
393,wel{k-ch}e,
394,{b-v}l{u-o}tigsste,
395,kne{p-f}l,
396,{p-f}ֿl{a-o}ַnzn,
397,{b-v}liende,
398,{b-v}lesl,
399,{p-f}nim,
400,sskrin,
401,{b-v}el{a-o}r{u-o}ssische,
402,{b-v}elgie,
403,{b-v}enkl,
404,chsnim,
405,{b-v}ergl,
406,t{a-o}ַl{a-o}ַnt,
407,{b-v}ern,
408,{a-o}m{b-v}{a-o}ss{a-o}de,
409,{p-f}einig{u-o}ng,
410,schtim{u-o}ng,
411,{b-v}rider-krign,
412,{b-v}ritisch-{p-f}r{a-o}nz{u-o}isische,
413,metr{a-o},
414,e{p-f}en{u-o}ng,
415,{p-f}ir{u-o}sch,
416,g{a-o}sn,
417,g{a-o}ַsn,
418,d{a-o}l{a-o}r,
419,keit,
420,schnit,
421,sch{p-f}{a-o}rch,
422,w{a-o}{u-o},
423,derm{a-o}nte,
424,{p-f}rnssh,
425,{p-f}il,
426,g{a-o}sstge{b-v}n,
427,g{a-o}ssn,
428,g{a-o}rtl,
429,aָnschtek{u-o}ng,
430,d{a-o}nki,
431,r{b-v},
432,{b-v}{a-o}dekt,
433,g{u-o}gl,
434,ischi{b-v}{u-o}t,
435,l{a-o}k{a-o}le,
436,m{a-o}n{a-o}tn,
437,gig{a-o}ntische,
438,{p-f}ir{a-o}midn,
439,git{a-o}risstn,
440,mschgichim,
441,krenk,
442,{p-f}irer,
443,{p-f}l{u-o}ss,
444,gi{k-ch}n,
445,w{a-o}{u-o}kss,
446,{b-v}{a-o}n,
447,ssm,
448,lmschl,
449,gl{a-o}serne,
450,dr{a-o}t,
451,{b-v}els,
452,gl{u-o}i{b-v}n,
453,gleiַ{k-ch}n,
454,{p-f}{a-o}sste,
455,mschkh,
456,{p-f}{a-o}rnt,
457,ge,
458,{b-v}i{k-ch}er,
459,iinteil{u-o}ng,
460,k{a-o}m{p-f}{a-o}sizie,
461,{p-f}{a-o}rem,
462,ss{b-v}i{b-v}h,
463,{p-f}erssischn,
464,ge{b-v}itn,
465,ge{b-v}li{b-v}n,
466,k{a-o}ָnss{a-o}ָn{a-o}ַntn,
467,ge{b-v}n,
468,a{u-o}il,
469,hsch{p-f}e{u-o}t,
470,{b-v}lei,
471,sch{a-o}ssei,
472,gegntle{k-ch}e,
473,gegntn,
474,gege{b-v}n,
475,gegentn,
476,ged{a-o}nkn,
477,gedi{k-ch}te,
478,hei,
479,gede{k-ch}tn,
480,geheisstn,
481,{p-f}eigl,
482,k{u-o}m{p-f}i{u-o}terss,
483,{p-f}r{a-o}{p-f}essi{a-o}n{a-o}le,
484,schtײt,
485,a{u-o}nternem{u-o}ng,
486,{a-o}kziess,
487,li{b-v}sch{a-o}{p-f}t,
488,a{u-o}iss{b-v}rech,
489,m{a-o}nz{b-v}il,
490,gew{a-o}rn,
491,greiss,
492,{p-f}{a-o}rt{u-o}gesische,
493,s{u-o}mer,
494,ss{a-o}zi{a-o}le,
495,i{a-o}hr,
496,mentsch,
497,nezwern,
498,geselsch{a-o}{p-f}tn,
499,geseml,
500,m{a-o}n{a-o}r{k-ch}ie,
501,getr{a-o}{p-f}n,
502,{b-v}el,
503,geltli{k-ch}e,
504,w{a-o}kss,
505,ssg{u-o}lh,
506,sch{u-o}less,
507,werssie,
508,h{a-o}rm{a-o}n,
509,mnhgim,
510,{p-f}ilm,
511,chlkim,
512,gener{a-o}zie,
513,g{a-o}ss,
514,gessl,
515,mk{u-o}r{u-o}t,
516,ge{p-f}{a-o}lnkeitn,
517,selner,
518,kre{p-f}tn,
519,ge{p-f}{a-o}rn,
520,ge{p-f}{a-o}remte,
521,{p-f}isch,
522,ge{p-f}ikelte,
523,d{a-o}te,
524,z{u-o}sch{p-f}eis,
525,chssidische,
526,militerische,
527,ger{u-o}{p-f}n,
528,m{a-o}{k-ch}t,
529,sch{b-v}tim,
530,{a-o}tm{a-o}ss{p-f}ere,
531,40,
532,kind,
533,m{a-o}{k-ch}l,
534,gesche{p-f}tn,
535,hisst{a-o}rie,
536,ssim{b-v}{a-o}l,
537,kischke,
538,gr{a-o}{p-f}nsch{a-o}{p-f}tn,
539,eidn,
540,gescheenischn,
541,a{u-o}idienz,
542,gr{u-o}{p-f}ּe,
543,{k-ch}ch,
544,gri{k-ch}n,
545,ss{a-o}we,
546,grin-{b-v}{a-o}dekte,
547,{a-o}r{b-v}et,
548,w{a-o}ld,
549,k{a-o}lir,
550,schi{p-f}{b-v}{u-o}ierei,
551,d{a-o}sign,
552,k{a-o}{u-o}dss,
553,{b-v}{a-o}{p-f}rei{u-o}ng,
554,werem,
555,d{a-o}se,
556,d{a-o}tn,
557,senen,
558,d{a-o}tsche-schif,
559,religie,
560,d{a-o}m{p-f}m{a-o}t{a-o}rn,
561,{a-o}kt,
562,d{a-o}k{u-o}mentn,
563,iinw{a-o}{u-o}iner,
564,״,
565,d{a-o}r{p-f}n,
566,{b-v}{a-o}nk,
567,schl{u-o}m,
568,d{u-o}r{k-ch}n,
569,tem{p-f}er{a-o}t{u-o}r,
570,weit,
571,dssch{u-o}ngl,
572,di{a-o}lektn,
573,di{a-o}ַlektn,
574,a{u-o}m{a-o}{p-f}hengik,
575,khilh,
576,rscheim,
577,dim{p-f}l{a-o}m{a-o}tische,
578,schtrik,
579,i{b-v}er,
580,diete,
581,i{a-o}rn,
582,resschim,
583,dikt{a-o}t{u-o}rn,
584,{b-v}{a-o}rd,
585,k{a-o}nsskewenssn,
586,de,
587,ded{a-o}kte{b-v}l,
588,{p-f}ּrtim,
589,wi{k-ch}tige,
590,h{u-o}i{p-f}tscht{a-o}t,
591,geschehnischn,
592,{a-o}r{a-o}{b-v}er,
593,dem{a-o}kr{a-o}tn,
594,{p-f}reimeriss,
595,dekl{a-o}ַr{a-o}ַzie,
596,heilikeit,
597,der{u-o}issende,
598,k{a-o}{u-o}nti''ss,
599,der{p-f}l,
600,d{u-o}r{k-ch}{a-o}{u-o}iss,
601,dr{a-o}tn,
602,le{b-v}nssgeschi{k-ch}te,
603,t{u-o}iern,
604,went,
605,{a-o}mendir{u-o}ng,
606,h{a-o}lt{b-v}{a-o}re,
607,h{a-o}ltn,
608,msrch,
609,ge{b-v}eide,
610,h{a-o}ndl,
611,h{a-o}{p-f}n,
612,h{a-o}{p-f}ss{b-v}{u-o}rgn,
613,e{b-v}ir{u-o}t,
614,{a-o}ntissemitism,
615,{k-ch}{a-o}rekterisstik,
616,h{a-o}rtn,
617,miner{a-o}l,
618,a{u-o}isserli{k-ch}e,
619,h{a-o}riw{a-o}nie,
620,rede,
621,{p-f}reisn,
622,a{p-f}izir,
623,a{u-o}m,
624,sind,
625,h{u-o}i{p-f}n,
626,h{u-o}m{a-o}risstische,
627,mlchmh,
628,h{u-o}ssn,
629,eidische,
630,hײַntzײַtike,
631,hi{k-ch}l,
632,ker{p-f}er,
633,{p-f}ּaָr,
634,htchl{u-o}t,
635,hieri{k-ch}ie,
636,zimer,
637,a{u-o}issgeh{a-o}ltnkeit,
638,helenisstische,
639,hel{p-f}n,
640,heng-{b-v}rikn,
641,sch{p-f}ּiz,
642,{p-f}aַ{b-v}rik{a-o}ַnt,
643,he{p-f}tlinge,
644,wert,
645,w{a-o}{u-o}lk{a-o}nische,
646,0.2,
647,schrz,
648,ssdrh,
