year,adj,noun,period,category
1841,perfumed,amity,A,Dissent
1841,fragrant,flower,A,Quality of being good
1841,fragrant,head,A,Land
1841,fragrant,thyme,A,Particular plants
1842,fragrant,fir,A,Particular plants
1842,fragrant,womb,A,Kinship/relationship
1842,sweet-smelling,flower,A,Quality of being good
1842,fragrant,breath,A,Source/principle of life
1842,fragrant,incense,A,Smell/odour
1842,fragrant,orange,A,Particular plants
1842,fragrant,bowers,A,NA
1842,perfumed,air,A,Gas
1842,fragrant,morn,A,Direction
1842,scented,bowers,A,NA
1842,perfumed,lip,A,Ill-health
1842,fragrant,flower,A,Quality of being good
1842,fragrant,orange,A,Particular plants
1842,fragrant,blossom,A,NA
1843,fragrant,pile,A,Money
1843,scented,shrub,A,Drink
1843,fragrant,anana,A,NA
1843,fragrant,gift,A,Ability
1843,fragrant,magnolia,A,Particular plants
1843,fragrant,guayavas,A,NA
1843,fragrant,branch,A,Wholeness
1843,fragrant,base,A,Relative position
1843,fragrant,melon,A,Particular plants
1843,fragrant,flower,A,Quality of being good
1843,fragrant,rose,A,Beauty
1843,fragrant,flower,A,Quality of being good
1843,fragrant,dew,A,Liquid
1843,fragrant,blue,A,Pertaining to colour
1843,fragrant,foot-path,A,Means of travel
1843,fragrant,garden,A,Farming
1843,scented,walk,A,Inhabit/dwell
1843,fragrant,air,A,Gas
1843,fragrant,may,A,Person
1843,perfumed,cambric,A,Textiles
1843,fragrant,odour,A,Smell/odour
1843,perfumed,billet,A,Materials
1843,fragrant,wine,A,Drink
1843,fragrant,herb,A,Healing/cure
1843,perfumed,wax,A,Change
1843,fragrant,syrup,A,Food
1843,fragrant,year,A,Period
1843,fragrant,face,A,The body
1843,fragrant,morning,A,Day and night
1843,fragrant,parting,A,Wholeness
1843,fragrant,womb,A,Kinship/relationship
1843,fragrant,purity,A,Virtue
1843,perfumed,lady,A,Person
1843,perfumed,air,A,Gas
1844,scented,note-paper,A,Writing
1844,fragrant,hay,A,Dancing
1844,scented,water,A,Cleanness/dirtiness
1844,fragrant,coffee,A,Drink
1844,fragrant,mocha,A,Materials
1844,fragrant,coffee,A,Drink
1844,fragrant,breath,A,Source/principle of life
1844,fragrant,air,A,Gas
1844,perfumed,liquid,A,Liquid phase
1844,fragrant,shrubbery,A,Farming
1844,fragrant,incense,A,Smell/odour
1844,fragrant,bower,A,Inhabited place
1844,scented,air,A,Gas
1844,fragrant,sleep,A,Sleeping and waking
1844,perfumed,oil,A,Food
1845,perfumed,look,A,Sight/vision
1845,perfumed,hair,A,Extension in space
1845,fragrant,claret,A,Drink
1845,fragrant,morning,A,Day and night
1845,fragrant,flower,A,Quality of being good
1845,fragrant,fruit,A,Plants
1845,fragrant,havana,A,"Use of drugs, poison"
1845,fragrant,breath,A,Source/principle of life
1845,fragrant,garland,A,Farming
1845,scented,wreath,A,Farming
1845,scented,water,A,Cleanness/dirtiness
1845,fragrant,offering,A,Giving
1845,fragrant,plant,A,Furnish with inhabitants
1845,fragrant,tear,A,Place
1845,fragrant,bowers,A,NA
1845,fragrant,bud,A,Part of plant
1845,fragrant,wreath,A,Farming
1845,fragrant,shade,A,Existence
1845,fragrant,dew,A,Liquid
1845,fragrant,balsam,A,Healing/cure
1845,fragrant,bowers,A,NA
1845,fragrant,wind,A,Cause to have specific position/arrangement
1845,scented,wind,A,Cause to have specific position/arrangement
1845,fragrant,breath,A,Source/principle of life
1845,fragrant,flower,A,Quality of being good
1845,fragrant,bed,A,Put in bed/provide a bed for
1845,fragrant,flower,A,Quality of being good
1845,fragrant,air,A,Gas
1846,perfumed,lamp,A,Light
1846,fragrant,air,A,Gas
1846,perfumed,breath,A,Source/principle of life
1846,fragrant,honey,A,Love
1846,perfumed,atmosphere,A,"Atmosphere, weather"
1846,perfumed,tunic,A,Clothing
1846,perfumed,lock,A,Water
1846,perfumed,hair,A,Extension in space
1846,perfumed,love-locks,A,NA
1846,perfumed,hill,A,Land
1846,fragrant,oil,A,Food
1846,fragrant,oil,A,Food
1846,fragrant,plant,A,Furnish with inhabitants
1846,perfumed,oil,A,Food
1846,scented,oil,A,Food
1846,fragrant,young,A,Living creature
