Source,Target,Type,Id,Label,Weight
undurchdringlich,Quarz,Directed,1038,,1
unnachgiebig,Quarz,Directed,1039,,1
vereinbart,Quarz,Directed,1040,,1
verloren,Quarz,Directed,1041,,1
winzig,Quarz,Directed,1042,,1
zerstäubt,Quarz,Directed,1043,,1
zugleich,Quarz,Directed,1044,,1
kurz,Quarzleist,Directed,1045,,1
groß,Quarznadeln,Directed,1046,,1
abtrünnig,Salz,Directed,1047,,1
liegend,Salz,Directed,1048,,1
mineralisch,Salz,Directed,1049,,1
prächtig,Salz,Directed,1050,,1
zuweilen,Salz,Directed,1051,,1
ander,Salze,Directed,1052,,1
beharrlich,Salze,Directed,1053,,1
fluider,Salze,Directed,1054,,1
metallisch,Salze,Directed,1055,,1
ungleichmäßig,Salze,Directed,1056,,1
schnell,Silber,Directed,1057,,1
groß,Siliziumoxid,Directed,1058,,1
blutrot,Specularit,Directed,1059,,1
bildnerisch,Stein,Directed,1060,,1
abgrenzen,Stein,Directed,1061,,1
ander,Stein,Directed,1062,,1
angeblich,Stein,Directed,1063,,1
anonym,Stein,Directed,1064,,1
anrührend,Stein,Directed,1065,,1
arabisch,Stein,Directed,1066,,1
aufgeschnitten,Stein,Directed,1067,,1
aufgestellt,Stein,Directed,1068,,1
aufmerksam,Stein,Directed,1069,,1
äußer,Stein,Directed,1070,,1
austauschbar,Stein,Directed,1071,,1
bedauernswert,Stein,Directed,1072,,1
bekennen,Stein,Directed,1073,,1
bekräftigen,Stein,Directed,1074,,1
beständig,Stein,Directed,1075,,1
bitter,Stein,Directed,1076,,1
bleich,Stein,Directed,1077,,1
bruchstückhaft,Stein,Directed,1078,,1
bunt,Stein,Directed,1079,,1
deutlich,Stein,Directed,1080,,1
dichtgedrängt,Stein,Directed,1081,,1
dritt,Stein,Directed,1082,,1
dunkel,Stein,Directed,1083,,1
durchgängig,Stein,Directed,1084,,1
durchsichtig,Stein,Directed,1085,,2
einziges,Stein,Directed,1087,,1
entgegengesetzt,Stein,Directed,1088,,1
erst,Stein,Directed,1089,,1
fest,Stein,Directed,1090,,1
folgend,Stein,Directed,1091,,1
fühllos,Stein,Directed,1092,,1
ganz,Stein,Directed,1093,,1
gefestigt,Stein,Directed,1094,,1
gefunden,Stein,Directed,1095,,1
hell,Stein,Directed,1096,,1
herrlich,Stein,Directed,1097,,1
konzentrisch,Stein,Directed,1098,,1
märchenhaftes,Stein,Directed,1099,,1
mineralogisch,Stein,Directed,1100,,1
mühelos,Stein,Directed,1101,,1
niederlegt,Stein,Directed,1102,,1
offenkundig,Stein,Directed,1103,,1
persönlich,Stein,Directed,1104,,1
phantastisch,Stein,Directed,1105,,2
rein,Stein,Directed,1107,,1
schmählich,Stein,Directed,1108,,1
schwankend,Stein,Directed,1109,,1
schwarz,Stein,Directed,1110,,1
schwermütig,Stein,Directed,1111,,1
sichtbar,Stein,Directed,1112,,1
starren,Stein,Directed,1113,,1
stumm,Stein,Directed,1114,,1
sungen,Stein,Directed,1115,,1
tintespeiend,Stein,Directed,1116,,1
tot,Stein,Directed,1117,,1
überarbeitet,Stein,Directed,1118,,1
unbewegt,Stein,Directed,1119,,1
unempfindlich,Stein,Directed,1120,,1
unerschütterlich,Stein,Directed,1121,,1
ungleichmäßig,Stein,Directed,1122,,1
unterschiedlich,Stein,Directed,1123,,1
ursprünglich,Stein,Directed,1124,,1
verschachtelt,Stein,Directed,1125,,1
verurteiln,Stein,Directed,1126,,1
verwandelnd,Stein,Directed,1127,,1
wahrscheinlich,Stein,Directed,1128,,1
weiß,Stein,Directed,1129,,2
werdend,Stein,Directed,1131,,1
winzig,Stein,Directed,1132,,1
wundersam,Stein,Directed,1133,,1
zerklüftet,Stein,Directed,1134,,1
zerrieben,Stein,Directed,1135,,1
alt,Stufenpyramide,Directed,1136,,1
überhängend,Stufenpyramide,Directed,1137,,1
völlig,Stufenpyramide,Directed,1138,,1
gleichuchl,Sykomor,Directed,1139,,1
ausgelaugt,Sykomor,Directed,1140,,1
nah,Sykomor,Directed,1141,,1
locker,Talk,Directed,1142,,1
skalenoedrisch,Topas,Directed,1143,,1
