Source,Target,Type,Id,Label,Weight
ganz,Kristall,Directed,82,,1
ge,Kristall,Directed,83,,1
gerade,Kristall,Directed,84,,1
geronnen,Kristall,Directed,85,,2
gestaucht,Kristall,Directed,86,,1
gewoehnlich,Kristall,Directed,87,,2
glasartig,Kristall,Directed,89,,1
hart,Kristall,Directed,90,,2
hochentwickelt,Kristall,Directed,91,,2
identische,Kristall,Directed,92,,1
Lebendig,Kristall,Directed,93,,1
leblos,Kristall,Directed,94,,1
leicht,Kristall,Directed,95,,2
moeg,Kristall,Directed,96,,1
mult,Kristall,Directed,97,,1
praechtig,Kristall,Directed,98,,1
rechtwinklig,Kristall,Directed,99,,1
runden,Kristall,Directed,100,,1
schief,Kristall,Directed,101,,2
schwaerz,Kristall,Directed,102,,1
sichtigkeit,Kristall,Directed,103,,1
stark,Kristall,Directed,104,,1
strengst,Kristall,Directed,105,,1
uebereinanderlegbar,Kristall,Directed,106,,1
undurchdringlich,Kristall,Directed,107,,2
unmittelbar,Kristall,Directed,108,,1
unschmelzbar,Kristall,Directed,109,,1
urspruenglich,Kristall,Directed,110,,1
veraen,Kristall,Directed,111,,1
vollstaendig,Kristall,Directed,112,,1
vorstell,Kristall,Directed,113,,1
paesin,Landschaftsstein,Directed,114,,1
auftretend,Limonit,Directed,115,,1
hell,Limonit,Directed,116,,1
fingerfoermige,Mangandendrit,Directed,117,,1
dunkel,Manganits,Directed,118,,2
aggr,Mineral,Directed,119,,1
ander,Mineral,Directed,120,,2
auffeierlich,Mineral,Directed,121,,1
aeuszer,Mineral,Directed,122,,1
bestimmt,Mineral,Directed,123,,2
betroffen,Mineral,Directed,124,,2
erst,Mineral,Directed,125,,1
ganz,Mineral,Directed,126,,1
geradlinig,Mineral,Directed,127,,2
gering,Mineral,Directed,128,,1
geschlossen,Mineral,Directed,129,,1
gleichgueltig,Mineral,Directed,130,,1
grenzenlos,Mineral,Directed,131,,2
mer,Mineral,Directed,132,,1
rasch,Mineral,Directed,133,,2
sp,Mineral,Directed,134,,1
spaltbar,Mineral,Directed,135,,1
speziell,Mineral,Directed,136,,2
un,Mineral,Directed,137,,1
versehrt,Mineral,Directed,138,,1
vorwiegend,Mineral,Directed,139,,2
ziell,Mineral,Directed,140,,1
wenig,Onyx,Directed,141,,2
winzig,Orthoklas,Directed,142,,2
edrisch,Quarz,Directed,143,,1
entsprechend,Quarz,Directed,144,,1
langsam,Quarz,Directed,145,,1
offenkundig,Quarz,Directed,146,,2
rhombo,Quarz,Directed,147,,1
sichtigkeit,Quarz,Directed,148,,1
unnachgiebig,Quarz,Directed,149,,2
verloren,Quarz,Directed,150,,2
Widmannstaettensch,Quarz,Directed,151,,1
winzig,Quarz,Directed,152,,2
zugleich,Quarz,Directed,153,,2
ausg,Quarzleist,Directed,154,,1
grosz,Quarznadeln,Directed,155,,1
exakt,Radiolarie,Directed,156,,1
geringelt,Radiolarie,Directed,157,,1
stachlig,Radiolarie,Directed,158,,1
vgl,Rieselgestein,Directed,159,,1
quarz,Rutil,Directed,160,,1
fluider,Salz,Directed,161,,1
geloest,Salz,Directed,162,,1
gierig,Salz,Directed,163,,1
m,Salz,Directed,164,,1
metallisch,Salz,Directed,165,,1
tallisch,Salz,Directed,166,,1
ungleichmaeszig,Salz,Directed,167,,1
vergaenglich,Salz,Directed,168,,1
dicht,Salze,Directed,169,,1
subtil,Salze,Directed,170,,1
schnell,Silber,Directed,171,,2
v,Silicitknolle,Directed,172,,1
angereichern,Siliziumoxid,Directed,173,,1
erst,Siliziumoxid,Directed,174,,1
grosz,Siliziumoxid,Directed,175,,1
unterschied,Siliziumoxid,Directed,176,,1
blutrot,Specularit,Directed,177,,2
-bildnerisch,Stein,Directed,178,,1
abgruendig,Stein,Directed,179,,1
angeblich,Stein,Directed,180,,2
angeschliffen,Stein,Directed,181,,1
anruehrend,Stein,Directed,182,,1
ausdrucksstark,Stein,Directed,183,,1
ausgchoehlt,Stein,Directed,184,,1
aeuszer,Stein,Directed,185,,1
befreien,Stein,Directed,186,,1
bekannt,Stein,Directed,187,,1
bisweil,Stein,Directed,188,,1
blind,Stein,Directed,189,,1
bruchstueck,Stein,Directed,190,,1
chinesisch,Stein,Directed,191,,1
deutsch,Stein,Directed,192,,1
Dicienig,Stein,Directed,193,,1
dunkel,Stein,Directed,194,,2
durchdacht,Stein,Directed,195,,2
durchgaengig,Stein,Directed,197,,1
entgegengesetzt,Stein,Directed,198,,2
erst,Stein,Directed,199,,3
folgend,Stein,Directed,201,,2
fuehllos,Stein,Directed,202,,1
gelbar,Stein,Directed,203,,1
gluecklich,Stein,Directed,204,,1
hell,Stein,Directed,205,,2
ien,Stein,Directed,206,,1
inner,Stein,Directed,207,,1
klapp,Stein,Directed,208,,1
klein,Stein,Directed,209,,2
kriechend,Stein,Directed,211,,1
Laediert,Stein,Directed,212,,2
monstroes,Stein,Directed,214,,1
muehelos,Stein,Directed,215,,1
n,Stein,Directed,216,,2
nah,Stein,Directed,218,,1
not,Stein,Directed,219,,1
phantastisch,Stein,Directed,220,,3
rein,Stein,Directed,221,,2
ruecklaeufig,Stein,Directed,222,,1
schmaehlich,Stein,Directed,223,,1
schoen,Stein,Directed,224,,1
Schwebend,Stein,Directed,225,,1
schwermuetig,Stein,Directed,226,,1
ser,Stein,Directed,227,,1
stisch,Stein,Directed,228,,1
tot,Stein,Directed,229,,2
unausweichlich,Stein,Directed,230,,1
unbewegt,Stein,Directed,231,,2
unempfindlich,Stein,Directed,232,,2
unendlich,Stein,Directed,233,,2
unerschuetterlich,Stein,Directed,235,,1
ungleichmaeszig,Stein,Directed,236,,1
unterschiedlich,Stein,Directed,237,,2
urspruenglich,Stein,Directed,238,,1
urspruenglichen,Stein,Directed,239,,1
verwandelnd,Stein,Directed,240,,2
verzeichnet,Stein,Directed,241,,1
voraufgehend,Stein,Directed,242,,1
wahrscheinlich,Stein,Directed,243,,2
wunderbar,Stein,Directed,244,,1
wundersam,Stein,Directed,245,,2
zerrieben,Stein,Directed,246,,2
sol,Talk,Directed,247,,1
absolut,Turmalin,Directed,248,,1
gegangen,Verstein,Directed,249,,1
ander,Wunderstein,Directed,250,,1
adj,mineral,Directed,251,,1
allgemein,Achat,Directed,252,,1
ander,Achat,Directed,253,,1
berühmt,Achat,Directed,254,,1
gedrungen,Achat,Directed,255,,1
gerunden,Achat,Directed,256,,1
jeweilig,Achat,Directed,257,,1
klein,Achat,Directed,258,,1
mexikanisch,Achat,Directed,259,,1
schwarzweiß,Achat,Directed,260,,1
selten,Achat,Directed,261,,1
urinfarben,Achat,Directed,262,,1
wahrnehmhar,Achat,Directed,263,,1
groß,Ammonit,Directed,264,,2
lins,Ammonit,Directed,265,,1
erkennbar,Baryt,Directed,266,,1
brüderlich,Baustein,Directed,267,,1
kontrastierend,Baustein,Directed,268,,1
regellos,Baustein,Directed,269,,1
versetzt,Baustein,Directed,270,,1
lang,Bilderstein,Directed,271,,1
ahnlich,Dendrit,Directed,272,,1
buschig,Dendrit,Directed,273,,1
erwähnt,Dendrit,Directed,274,,1
hart,Diamant,Directed,275,,1
mikroskopisch,Diatomee,Directed,276,,1
begehrt,Edelstein,Directed,277,,1
kleiden,Edelstein,Directed,278,,1
werdend,Edelstein,Directed,279,,1
speziell,Eisenglanz,Directed,280,,1
schnell,Ergußgestein,Directed,281,,1
vulkanisch,Ergußgestein,Directed,282,,1
bekannt,Felsgestein,Directed,283,,1
unwandelbar,Felsgestein,Directed,284,,1
geologisch,Gestein,Directed,285,,1
kieselsäurearm,Gestein,Directed,286,,1
zulaufend,Gesteinsart,Directed,287,,1
rot,Glimmer,Directed,288,,1
schwarz,Glimmer,Directed,289,,1
grundlegend,Hämatitkristall,Directed,290,,1
völlig,Hämatitkristall,Directed,291,,1
tiefbetrübt,Herz,Directed,292,,1
unbeweglich,Herz,Directed,293,,1
bekennen,Jaspis,Directed,294,,1
zufällig,Jaspis,Directed,295,,1
schwimmend,Kalkstein,Directed,296,,1
toskanisch,Kalkstein,Directed,297,,1
vorgestellt,Kalkstein,Directed,298,,1
dünn,Kalzit,Directed,299,,1
groß,Kalzit,Directed,300,,1
mineralogisch,Kalzit,Directed,301,,1
schwach,Kalzit,Directed,67,,1
gebildet,Kalzitgarbe,Directed,302,,1
mineralisiert,Kalzitgarbe,Directed,303,,1
beunruhigend,Kalzits,Directed,304,,1
skalenoedrisch,Kalzits,Directed,305,,1
zwillingsförmig,Kalzits,Directed,306,,1
lebendig,Kieselgestein,Directed,307,,1
undurchdringlich,Kieselgestein,Directed,308,,1
unvergänglich,Kieselgestein,Directed,309,,1
bedroht,Kieselsäure,Directed,310,,1
schwimmend,Kieselsäure,Directed,311,,1
absolut,Kristall,Directed,312,,1
abstrakt,Kristall,Directed,313,,1
anomal,Kristall,Directed,314,,1
ausgekleidet,Kristall,Directed,315,,1
äußerlich,Kristall,Directed,316,,1
bedauernswert,Kristall,Directed,317,,1
blind,Kristall,Directed,318,,1
denkbar,Kristall,Directed,319,,1
durchscheinend,Kristall,Directed,320,,1
ebenen,Kristall,Directed,321,,1
eiskalt,Kristall,Directed,322,,1
falsch,Kristall,Directed,323,,1
fest,Kristall,Directed,324,,1
gediegen,Kristall,Directed,325,,1
geduldig,Kristall,Directed,326,,1
geheim,Kristall,Directed,327,,1
gerunden,Kristall,Directed,328,,1
gesamt,Kristall,Directed,329,,1
gewöhnlich,Kristall,Directed,330,,2
glatt,Kristall,Directed,331,,1
groß,Kristall,Directed,332,,1
hinderlich,Kristall,Directed,333,,1
hinterlistig,Kristall,Directed,334,,1
klein,Kristall,Directed,335,,1
metallisch,Kristall,Directed,336,,1
metaphorisch,Kristall,Directed,337,,1
niedrig,Kristall,Directed,338,,1
prächtig,Kristall,Directed,339,,2
rußig,Kristall,Directed,340,,1
schwärz,Kristall,Directed,341,,1
streng,Kristall,Directed,342,,1
transparent,Kristall,Directed,343,,1
ungewöhnlich,Kristall,Directed,344,,1
untadelig,Kristall,Directed,345,,1
verschieden,Kristall,Directed,346,,1
winkelig,Kristall,Directed,347,,1
winzig,Kristall,Directed,348,,1
zählebig,Kristall,Directed,349,,1
verdächtig,Kryptogame,Directed,350,,1
erwähnt,Manganabsätzen,Directed,351,,1
moosig,Mangandendrit,Directed,352,,1
undurchdringlich,Mangandendrit,Directed,353,,1
fossilienführend,Marmor,Directed,354,,1
blasser,Marmorfarbe,Directed,355,,1
undeutlich,Marmorfarbe,Directed,356,,1
minderwertig,Mergelkonkretion,Directed,357,,1
aggressiv,Mineral,Directed,358,,1
äußer,Mineral,Directed,359,,1
beteiligt,Mineral,Directed,360,,1
eingeschlossen,Mineral,Directed,361,,1
fremdartig,Mineral,Directed,362,,1
gewöhnlich,Mineral,Directed,363,,1
gleichgültig,Mineral,Directed,364,,1
langsam,Mineral,Directed,365,,1
leicht,Mineral,Directed,366,,1
per,Mineral,Directed,367,,1
verflüssig,Mineral,Directed,368,,1
vollständig,Mineral,Directed,369,,1
zwingend,Mineral,Directed,370,,1
fossil,Moose,Directed,371,,1
trocken,Moose,Directed,372,,1
worden,Obsidiankling,Directed,373,,1
kieselsäurearm,Onyx,Directed,374,,1
schwarzweiß,Onyx,Directed,375,,1
lebendig,Opal,Directed,376,,1
abscheulich,Pyramide,Directed,377,,1
alt,Pyramide,Directed,378,,1
gewöhnlich,Pyramide,Directed,379,,1
herrlich,Pyramide,Directed,380,,1
liegend,Pyramide,Directed,381,,1
fünfeckig,Pyrit,Directed,382,,1
gleich,Pyrite,Directed,383,,1
selten,Pyrite,Directed,384,,1
absolut,Quarz,Directed,385,,1
beteiligt,Quarz,Directed,386,,1
braun,Quarz,Directed,387,,1
kalt,Quarz,Directed,388,,1
schlickförmig,Quarz,Directed,389,,1
schwarz,Quarz,Directed,390,,1
spitzig,Quarz,Directed,391,,1
undurchdringlich,Quarz,Directed,392,,1
vereinbart,Quarz,Directed,393,,1
zerstäubt,Quarz,Directed,394,,1
kurz,Quarzleist,Directed,395,,1
groß,Quarznadeln,Directed,396,,1
abtrünnig,Salz,Directed,397,,1
liegend,Salz,Directed,398,,1
mineralisch,Salz,Directed,399,,1
prächtig,Salz,Directed,400,,1
zuweilen,Salz,Directed,401,,1
ander,Salze,Directed,196,,1
beharrlich,Salze,Directed,402,,1
fluider,Salze,Directed,403,,1
metallisch,Salze,Directed,404,,1
ungleichmäßig,Salze,Directed,200,,1
groß,Siliziumoxid,Directed,405,,1
bildnerisch,Stein,Directed,406,,1
abgrenzen,Stein,Directed,407,,1
ander,Stein,Directed,408,,1
anonym,Stein,Directed,409,,1
anrührend,Stein,Directed,410,,1
arabisch,Stein,Directed,210,,1
aufgeschnitten,Stein,Directed,411,,1
aufgestellt,Stein,Directed,412,,1
aufmerksam,Stein,Directed,213,,1
äußer,Stein,Directed,413,,1
austauschbar,Stein,Directed,414,,1
bedauernswert,Stein,Directed,415,,1
bekennen,Stein,Directed,217,,1
bekräftigen,Stein,Directed,416,,1
beständig,Stein,Directed,417,,1
bitter,Stein,Directed,418,,1
bleich,Stein,Directed,419,,1
bruchstückhaft,Stein,Directed,420,,1
bunt,Stein,Directed,421,,1
deutlich,Stein,Directed,422,,1
dichtgedrängt,Stein,Directed,423,,1
dritt,Stein,Directed,424,,1
durchgängig,Stein,Directed,425,,1
durchsichtig,Stein,Directed,426,,2
einziges,Stein,Directed,427,,1
fest,Stein,Directed,234,,1
fühllos,Stein,Directed,428,,1
ganz,Stein,Directed,429,,1
gefestigt,Stein,Directed,430,,1
gefunden,Stein,Directed,431,,1
herrlich,Stein,Directed,432,,1
konzentrisch,Stein,Directed,433,,1
märchenhaftes,Stein,Directed,434,,1
mineralogisch,Stein,Directed,435,,1
mühelos,Stein,Directed,436,,1
niederlegt,Stein,Directed,437,,1
offenkundig,Stein,Directed,438,,1
persönlich,Stein,Directed,439,,1
schmählich,Stein,Directed,440,,1
schwankend,Stein,Directed,441,,1
schwarz,Stein,Directed,442,,1
schwermütig,Stein,Directed,443,,1
sichtbar,Stein,Directed,444,,1
starren,Stein,Directed,445,,1
stumm,Stein,Directed,446,,1
sungen,Stein,Directed,447,,1
tintespeiend,Stein,Directed,448,,1
überarbeitet,Stein,Directed,449,,1
unerschütterlich,Stein,Directed,450,,1
ungleichmäßig,Stein,Directed,451,,1
ursprünglich,Stein,Directed,452,,1
verschachtelt,Stein,Directed,453,,1
verurteiln,Stein,Directed,454,,1
weiß,Stein,Directed,455,,2
werdend,Stein,Directed,456,,1
winzig,Stein,Directed,457,,1
zerklüftet,Stein,Directed,458,,1
alt,Stufenpyramide,Directed,459,,1
überhängend,Stufenpyramide,Directed,460,,1
völlig,Stufenpyramide,Directed,461,,1
gleichuchl,Sykomor,Directed,462,,1
ausgelaugt,Sykomor,Directed,463,,1
falsch,Sykomor,Directed,464,,2
nah,Sykomor,Directed,465,,1
locker,Talk,Directed,466,,1
skalenoedrisch,Topas,Directed,467,,1
