"corpus","user/st.schwarz/xriddle_23"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"vorgesetzte",1,182090,521.37640,8.67112,54.014
"gefunden",1,182586,521.37640,8.69474,53.882
"tumor",1,183910,521.37640,8.75779,53.534
"geboren",2,391160,1042.75281,18.62702,53.179
"hase",1,187308,521.37640,8.91960,52.661
"metropole",1,190007,521.37640,9.04813,51.987
"schöpfung",1,190738,521.37640,9.08294,51.808
"literarisch",2,407096,1042.75281,19.38589,51.200
"diebstahl",1,197098,521.37640,9.38580,50.297
"kriminell",1,197166,521.37640,9.38904,50.282
"vergeblich",1,199002,521.37640,9.47647,49.862
"fortan",1,199199,521.37640,9.48585,49.817
"vorname",1,200642,521.37640,9.55456,49.493
"vorzug",1,200722,521.37640,9.55837,49.475
"unterschätzen",1,201458,521.37640,9.59342,49.311
"antun",1,209102,521.37640,9.95743,47.673
"fantasie",1,210452,521.37640,10.02172,47.395
"stammend",1,213914,521.37640,10.18658,46.697
"grenzen",1,215247,521.37640,10.25005,46.433
"brunnen",1,219775,521.37640,10.46568,45.560
"gnade",1,225044,521.37640,10.71659,44.584
"flucht",2,471598,1042.75281,22.45748,44.496
"treu",2,473453,1042.75281,22.54581,44.329
"überlegung",2,482830,1042.75281,22.99234,43.504
"heilung",1,237555,521.37640,11.31236,42.427
"fortgeschritten",1,237993,521.37640,11.33322,42.355
"gestalt",2,522249,1042.75281,24.86948,40.347
"wende",1,256638,521.37640,12.22109,39.511
"versammeln",1,258109,521.37640,12.29114,39.303
"glänzend",1,258856,521.37640,12.32671,39.198
"ruf",2,538346,1042.75281,25.63601,39.186
"schütteln",1,271906,521.37640,12.94815,37.451
"unabhängigkeit",1,272219,521.37640,12.96306,37.411
"kapitän",1,281385,521.37640,13.39954,36.277
"überflüssig",1,282667,521.37640,13.46059,36.124
"einbringen",2,592459,1042.75281,28.21287,35.729
"hauptstadt",2,657365,1042.75281,31.30370,32.311
"dichter",1,321859,521.37640,15.32691,31.995
"abseits",1,325606,521.37640,15.50535,31.649
"verdanken",1,326583,521.37640,15.55187,31.560
"womöglich",1,332761,521.37640,15.84607,31.009
"klug",1,335390,521.37640,15.97126,30.780
"zugunsten",1,337099,521.37640,16.05264,30.633
"spektrum",1,348917,521.37640,16.61541,29.655
