itemLabel,itemImage,valueLabel,edgeLabel
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,Edo people,culture
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,human head,depicts
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,human head,depicts
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,commemorative sculpture,instance of
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,commemorative sculpture,instance of
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,queen mother,depicts
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,queen mother,depicts
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,Bronze Head of Queen Idia,based on
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,Bronze Head of Queen Idia,based on
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,Idia,main subject
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,Idia,main subject
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,Beyond Compare: Art from Africa in the Bode-Museum,exhibition history
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,Beyond Compare: Art from Africa in the Bode-Museum,exhibition history
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,Commemorative head of Queen Mother,different from
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,Commemorative head of Queen Mother,different from
