"","token","freq","target","unique","stopword"
"108","alright",58,"cl",0,0
"3608","alright",4,"co",0,0
"109","also",14,"cl",0,0
"3609","also",14,"co",0,0
"110","alter",2,"cl",1,1
"111","alterations",8,"cl",1,0
"112","although",14,"cl",0,0
"3611","although",4,"co",0,1
"113","altogether",2,"cl",0,1
"3612","altogether",1,"co",0,1
"114","always",98,"cl",0,0
"3613","always",41,"co",0,1
"115","Alzheimer",2,"cl",1,0
"116","am",50,"cl",0,0
"3614","am",5,"co",0,0
"117","ama",2,"cl",1,0
"118","amazing",2,"cl",0,0
"3615","amazing",6,"co",0,0
"119","ambient",2,"cl",1,0
"120","ambiguity",2,"cl",0,0
"3616","ambiguity",1,"co",0,0
"121","ambiguous",2,"cl",0,0
"3617","ambiguous",1,"co",0,0
"122","amends",4,"cl",1,0
"123","America",6,"cl",1,0
"124","amount",8,"cl",0,0
"3618","amount",2,"co",0,0
"125","amounts",4,"cl",1,0
"126","an",210,"cl",0,0
"3619","an",67,"co",0,0
"127","ana",2,"cl",1,0
"128","analyse",10,"cl",1,1
"129","analysing",6,"cl",0,0
"3620","analysing",1,"co",0,0
"130","analysis",2,"cl",0,0
"3621","analysis",1,"co",0,0
"131","analytical",4,"cl",1,0
"132","anathema",2,"cl",1,0
"133","and",3076,"cl",0,0
"3622","and",618,"co",0,0
"134","Andrew",2,"cl",1,0
"135","android",2,"cl",1,0
"136","anecdotally",2,"cl",1,1
"137","anger",2,"cl",0,0
"3624","anger",2,"co",0,0
"138","angle",6,"cl",1,0
"139","angry",20,"cl",0,0
"3625","angry",1,"co",0,0
"140","animal",2,"cl",1,0
"141","animals",10,"cl",0,0
"3626","animals",5,"co",0,0
"142","annoy",2,"cl",1,0
"143","annoying",4,"cl",1,0
"144","another",38,"cl",0,0
"3629","another",12,"co",0,1
"145","ans",2,"cl",1,0
"146","ansk",2,"cl",1,0
"147","answer",22,"cl",0,0
"3630","answer",9,"co",0,0
"148","answered",10,"cl",0,0
"3631","answered",3,"co",0,0
"149","answering",4,"cl",0,0
"3632","answering",3,"co",0,0
"150","answers",8,"cl",0,0
"3633","answers",6,"co",0,0
"151","antipsychotic",2,"cl",1,0
"152","antivirus",2,"cl",1,0
"153","anxiety",4,"cl",0,0
"3634","anxiety",1,"co",0,0
"154","any",90,"cl",0,0
"3636","any",27,"co",0,0
"155","anybody",10,"cl",1,0
"156","anymore",16,"cl",0,0
"3637","anymore",1,"co",0,0
"157","anyone",8,"cl",1,1
"158","anything",118,"cl",0,0
"3638","anything",22,"co",0,0
"159","anyway",38,"cl",0,0
"3639","anyway",5,"co",0,0
"160","anyways",4,"cl",1,0
"161","anywhere",6,"cl",0,0
"3640","anywhere",1,"co",0,0
"162","ap",2,"cl",0,0
"3641","ap",3,"co",0,0
"163","apart",20,"cl",0,0
"3642","apart",3,"co",0,0
"164","aperture",2,"cl",1,0
"165","apple",2,"cl",1,0
"166","Apple",2,"cl",1,0
"167","applied",2,"cl",0,0
"3649","applied",1,"co",0,0
"168","applies",2,"cl",1,0
"169","apply",2,"cl",0,0
"3650","apply",5,"co",0,0
"170","applying",2,"cl",0,0
"3651","applying",1,"co",0,0
"171","appointment",2,"cl",1,0
"172","appreciate",2,"cl",1,0
"173","approach",4,"cl",0,0
"3652","approach",4,"co",0,0
"174","approaching",2,"cl",1,0
