adj,noun,mineral
aufgebaut,ordnung,0
aufgenommen,Streifen,0
aufgenommen,Streifen,0
aufgerissen,Ding,0
aufgerissen,Schlange,0
aufgerissen,Rache,0
aufgewendet,Kraft,0
aufgewirbelt,Explosion,0
aufgewirbelt,schrag,0
aufgewirbelt,Abzweigung,0
aufgewühlt,Gemenge,0
aufgewühlt,Gäng,0
aufgewühlt,Gedärmen,0
aufirgendein,Weise,0
aufirgendein,Teil,0
aufjeglich,Geschmeidigkeit,0
aufkom,Durchsichtigkeit,0
auflächerlich,Weise,0
aufnah,Offnung,0
aufnah,nutzen,0
aufnah,Blase,0
aufragend,Ufer,0
aufragend,Vorhang,0
aufrecht,Architektur,0
auftretend,Limonit,0
auftretend,Gel,0
aufund,Sandrose,0
ausdrucksstark,Zeichnung,0
ausdrucksstark,leppich,0
ausdrucksstark,Edelstein,0
ausdrucksstark,Stein,0
ausg,Geratewohl,0
ausg,Quarzleist,0
ausgchöhlt,Stein,0
ausgedehnt,Untersuchung,0
ausgedehnt,Begriff,0
ausgedehnt,Uberlagerung,0
ausgedehnt,Farbe,0
ausgedehnt,Weitung,0
ausgeglüht,Überrest,0
ausgeglüht,Tümmer,0
ausgeglüht,Esse,0
ausgehend,Definition,0
ausgehend,Garten,0
ausgehend,Alphabet,0
ausgehend,Medaille,0
ausgehöhlt,Phalli,0
ausgehöhlt,Eichel,0
ausgeprägen,Halbinsel,0
ausgeprägen,Einschnitt,0
ausgestrecken,links,0
ausgestrecken,Länge,0
ausgestrecken,Priesterin,0
ausgestrecken,Zehenspitzen,0
ausgewaschen,Firmament,0
ausgewogen,Verwir,0
ausgewogen,rung,0
ausgewogen,Gestalt,0
ausgiebig,Metapher,0
ausreichend,Konkurrenz,0
ausreichend,Interesse,0
ausreichend,Trugbild,0
ausschlagend,Nadel,0
ausschlagend,Blitz,0
ausschließen,Druck,0
ausschließen,Seinsweise,0
ausschließend,Wust,0
ausschließend,Benennung,0
ausschließend,Vermutunge,0
ausschließlich,Mensch,0
ausschließlich,Mühe|bemühen,0
ausschließliches,Verzückung,0
ausschließliches,Werk,0
äußer,Erscheinungsbild,0
äußer,Gefälle,0
äußer,fall,0
äußer,Abstufung,0
äußer,Horizont,0
äußer,Grenze,0
äußer,Stein,0
äußer,Anhaltspunkt,0
äußer,Ende,0
äußer,Stiel,0
äußer,Farbe,0
äußer,Mineral,0
äußer,Eindrucken,0
außergewöhnlich,Komposition,0
außergewöhnlich,Gleichgewicht,0
außergewöhnlich,Nüchternheit,0
außergewöhnlich,Eindruck,0
äußerst,Gestalt,0
äußerst,strenge,0
äußerst,Dreieck,0
äußerst,Alphabet,0
äußerst,fall,0
äußerst,Wörterbuchen,0
äußerst,Element,0
äußerst,Bedürfnis,0
äußerst,Nostalgie,0
äußerst,Blütenblätter,0
äußerst,Ende,0
äußerst,Blütenblätter,0
äußerst,tung,0
äußerst,Symbol,0
äußerst,Eck,0
äußerst,Vordachs,0
außerweltlich,Nasengrat,0
außerweltlich,Erscheinung,0
außerweltlich,Gesicht,0
austauschbar,Botschaft,0
austauschbar,Allegorie,0
azt,Rache,0
azt,Mythologie,0
babylonisch,Macht,0
babylonisch,Turm,0
babylonisch,Planet,0
babylonisch,Aggregate,0
babylonisch,Bauwerk,0
banal,Epitheton,0
banal,Raum,0
bar,Ahnlichkeit,0
bar,Koinzidenz,0
bar,dritt,0
bar,Unersetzlich,0
bar,Austausch,0
bar,Vorrang,0
bar,Abstufung,0
bar,Okonomie,0
bar,Steinschneider,0
bebend,Zufluchtsort,0
bebend,Emulsion,0
bebend,Spitze,0
bebend,Gewölbeboge,0
bedecken,Rind,0
bedeu,Werk,0
befreien,Hand,0
befreien,Boden,0
befreien,Knochen,0
befreien,Stein,0
befreite,Ungeziefer,0
befreite,Erde,0
befreite,Erde,0
befremdlich,Spalte|Spalten,0
befremdlich,Gesetz,0
befriedigend,Schritt,0
befriedigend,Schritt,0
befriedigend,lösung,0
begrenzt,Möglichkeit,0
begrenzt,Aufgabelung,0
begrenzt,Trugbild,0
begrenzt,Aus,0
begriffen,Eindicken,0
begriffen,Teig,0
behängen,Vogelscheuche,0
beharrlich,Erfahrung,0
beharrlich,Möglichkeit,0
beharrlich,Mystiken,0
beharrlich,Theologie,0
beharrlich,Anordnung,0
beharrlich,Schicksal,0
beharrlich,Raum,0
behutsam,Veränderung,0
behutsam,Zentrum,0
behutsam,Blütenkrone,0
beiderseitig,Gefangene,0
beiderseitig,Einsamkeit,0
beiläufig,Verwandtschaft,0
beiläufig,Kalligraphie,0
bekannt,Genese,0
bekannt,Struktur,0
bekannt,Stein,0
bekannt,Gefangene,0
belauben,Rind,0
belauben,Ast,0
beliebig,Aussehen,0
bemer,Kunst,0
bemer,Exemplar,0
bemer,Eingeweidehaufen,0
bene,Schuppe|Schuppen,0
bene,Beschreibung,0
bene,ehest,0
berechenbar,Logik,0
berechenbar,Knolle,0
berechnete,Areal,0
berechnete,Fläche,0
berechnete,Dürr,0
bers,Hand,0
bers,Maler,0
bers,Schrei,0
besänſtig,Vergnügen,0
besänſtig,Gunst,0
besänſtig,Mifhelligkeit,0
besäß,Zauber,0
besäß,Spitzengewe,0
bescheiden,Einschluß,0
bescheiden,Raub,0
bescheiden,Verunglimpfung,0
bescheiden,Verheerung,0
bescheiden,Exemplar,0
bescheiden,Rang,0
bescheiden,Erscheinung,0
bescheiden,Jungfrau,0
beschrieben,Ring,0
beschrieben,Umriß,0
beschrieben,Knolle,0
beschrieben,Verwachsungsstruktur,0
beschrieben,Weise,0
beschrieben,Anätzen,0
beschrieben,Meteoreisenflächen,0
beschrieben,Bild,0
beschrieben,Achat,0
beseitigen,Dreieck,0
beseitigen,Nische,0
beseitigen,Offnung,0
besonder,Tiefschwarz,0
besonder,Stoff,0
besonder,Art,0
besorgen,Natur,0
besorgen,Plan,0
beständig,Muster,0
beständig,Anblick,0
beständig,Gesetz,0
beständig,Wüste,0
beständig,Wind,0
bestimmen,Tektonik,0
bestimmt,Kristallographie,0
bestimmt,Mineral,0
bestimmt,Beständigkeit,0
bestimmt,Neigung,0
bestimmt,Ge,0
bestreut,Querschnitte,0
bestreut,Zeichen,0
bestreut,Oberfläche,0
bestreut,Konkurrenz,0
beträchtlich,Einschnitt,0
beträchtlich,Profil,0
beträchtlich,Stück,0
betrieben,Harmonie,0
betrieben,Kühnheit,0
betrieben,Kunst,0
betroffen,Schaden,0
betroffen,Mineral,0
bevorstehend,Dichte,0
bevorstehend,Blitz,0
beweglich,Ungeziefer,0
beweglich,Element,0
beweglich,Typographie,0
beweglich,Winkel,0
beweglich,regel,0
beweglich,Koordinatensystem,0
beweglich,2.T.,0
beweglich,Ring,0
bezaubernd,Ende,0
bezaubernd,Zeichnung,0
biegen,Institution,0
biegen,Zirkel,0
biegsam,Buch,0
biegsam,Schacht,0
biegsam,Vielecke,0
biegsam,Kreis,0
biegsam,Erinnerung,0
biegsam,Welt,0
biegsam,Geg,0
bieterisch,Bejahung,0
bieterisch,Hochmut,0
big,Gelände,0
big,Wasserhaushalt,0
big,Maler,0
birg,Grundge,0
bisweil,Stein,0
bisweil,Gegenstand,0
bisweil,tung,0
bizarre,sung,0
bizarre,Gestalt,0
bizarre,Gipskristalle,0
blasser,Weiß,0
blasser,ge,0
blasser,Kristall,0
blasser,Marmorfarbe,0
blätterig,Wand,0
blau,Abend,0
blau,Abglanz,0
blau,Mifhelligkeit,0
blau,Nacht,0
blau,Achat,0
blau,könig,0
blau,Unebenheit,0
bleibend,Merkzeichen,0
bleibend,Denken,0
bleibend,Anlaß,0
bleich,Stelle,0
bleich,Gewebe,0
bleich,Zau,0
bleich,Mythologie,0
bleich,Raupe,0
bleiern,Himmel,0
bleiern,Dichte,0
bleiern,Blitz,0
blick,Auge,0
blick,Bild,0
blind,Grundmuster,0
blind,Stein,0
blind,Weise,0
Blitzartig,Erstaunen,0
blitzend,Erscheinung,0
blitzend,Fetzen,0
blitzend,Kristall,0
blitzend,Figur,0
blitzend,Wucherung,0
blitzend,Zelle,0
blond,Lavis,0
blond,Schiller,0
blond,Stroh,0
blond,Rauch,0
blond,Feenwerk,0
blond,Haar,0
bloßen,Zwischenwand,0
bloßen,Schattenspiel,0
bloßen,Farbe,0
bloßen,Schatten,0
blut,Magnetits,0
blut,Eisenglanz,0
blut,Strich,0
blütenlos,Kryptogame,0
blütenlos,Pflanze,0
blütenlos,Moose,0
blutrot,Eisenglanz,0
blutrot,Strich,0
blutrot,Specularit,0
bogenförmig,Geschlecht,0
bogenförmig,Hörner,0
bogenförmig,Augenhöhl,0
bogenförmig,Zwillingsbrunnen,0
borstig,Chaos,0
borstig,Diagonale,0
böse,Leichtigkeit,0
böse,Wunde,0
böse,Zuschnappe,0
brasilianisch,Ende,0
brasilianisch,Künstler,0
breit,Zunge,0
breit,Quarznadel,0
breit,Starre,0
breit,Prismus,0
breit,Rampe,0
breit,Winkeldreieck,0
breit,Mitte,0
breit,Motiv,0
breit,Glanz,0
breit,Name,0
breit,enden,0
breit,A,0
breit,Maul,0
breit,Hammerhais,0
breitend,Stille,0
breitend,Gedanke,0
breiter,Aufzug,0
breiter,Rand,0
breiter,Farbe,0
brikmäßig,Unterschied,0
brochen,Schmuckschrift,0
brochen,Linie,0
brochen,Haupttext,0
brüchig,Ritze|Ritzen,0
brüchig,Glimmer,0
brüchig,Gips,0
brüchigem,Muschelschale,0
brüchigem,Kalk,0
bruchstück,Allegorie,0
bruchstück,Stein,0
brut,Nähe,0
brut,Werk,0
brut,Art,0
brut,Schinderei,0
brutal,Haarrisse,0
brutal,Wechsel,0
brütend,Gedanke,0
brütend,Feuerwerksraket,0
brütend,Paroxysmus,0
bün,Gelassenheit,0
bün,Rede,0
buschig,Blattwerk,0
ch,Aufprall,0
ch,Schnitt,0
ch,Porzellanplätt,0
ch,Djoser,0
charakteristisch,Gitter,0
charakteristisch,Art,0
che,Materie,0
che,Raum,0
che,Stelle,0
che,Kristall,0
che,Substanz,0
che,Pollen,0
chemisch,umgekehrt,0
chemisch,Reihe,0
chemisch,Art,0
chemisch,Konfrontation,0
chemisch,Vorgänge,0
chen,Geometrie,0
chen,Netz,0
chen,Faser,0
chinesisch,Gesamtinventar,0
chinesisch,Zivilisation,0
chinesisch,Schrift,0
chinesisch,Stein,0
chinesisch,Schriftzeichen,0
chinesisch,Kalligraphie,0
chinesisch,Silicium,0
chinesisch,Silentium,0
chinesisch,Schriftzeichen,0
chinesisch,Chiffre,0
comm,Weisheit,0
d'autr,Taschenbuchausgabe,0
d'autr,text,0
dagewesen,Zufallswurf,0
dagewesen,Zeichnung,0
dauerhaft,Einverständnis,0
de,Materie,0
de,Schreckgespenster,0
dekam,Aufeinandertreffen,0
dekam,Kristallisation,0
dekam,Grundmuster,0
delmuddel,Disziplin,0
delmuddel,Begriflskud,0
delmuddel,Wust,0
denfaser,Daune,0
denfaser,Sei,0
denkwürdig,Augenblick,0
denkwürdig,Weisheit,0
denkwürdig,Trost,0
deraren,Verlauf,0
deraren,Splitter,0
deraren,Vorzeit,0
derliegend,Gitternetz,0
derliegend,Faden,0
despotisch,Grundsatz,0
despotisch,Hindernis,0
despotisch,Fall,0
despotisch,Syntax,0
deutlich,Peripetie,0
deutlich,Abwesenheit,0
deutlich,Bild,0
deutlich,Leere,0
deutlich,Senkrecht,0
deutlich,Gestalt,0
deutlich,Geist,0
deutlich,Strich,0
deutlich,Bänder,0
deutlich,Gegenteil,0
deutlich,Uberlieferung,0
deutlich,Geschlecht,0
deutsch,Entsprechung,0
deutsch,Entsprechung,0
deutsch,Stein,0
deutsch,Tal,0
deutsch,Bez,0
deutsch,Fas,0
deutsch,sung,0
diagonal,Nerv|Nerven,0
dicht,Flüssigkeit,0
dicht,Leben,0
dicht,Linie,0
dicht,Salze,0
dicht,Inklusion,0
dicht,Farbigkeit,0
dicht,Jaspise,0
dichtes,Einzelstücken,0
dichtgedrängt,Hügellandschaft,0
dichtgedrängt,Pyramiden,0
dichtgedrängt,Chaos,0
Dicienig,Stein,0
Dicienig,Haupt,0
dick,Sockel,0
dickflüssig,Teig,0
dickflüssig,Schichten,0
dig,Gelassenheit,0
dig,Rede,0
dig,Ruhm,0
dig,Uberfluß,0
dig,Universum,0
dig,Gemälde,0
dig,Hin,0
dig,Her,0
dig,Tau,0
dig,Gallert,0
dig,Augenblick,0
ding,Versammlung,0
ding,Welt,0
ding,Ding,0
dop,Form,0
dop,Bort,0
doppelt,Eindruck,0
doppelt,Kristall,0
doppelt,Schrägfläche,0
doppelt,Klinge|Klingen,0
doppelt,Querschnitt,0
doppelt,TForm,0
doppelt,Auster,0
doppelt,Schale,0
drehend,Unterbre,0
drehend,Leuchtturm,0
drehend,Fall,0
drehend,Exemplar,0
dreifaltig,Stelle,0
dreifaltig,Zeichnung,0
drit,Ausgießung,0
drit,Person,0
drit,Gott,0
dritt,Mitte,0
dritt,Figur,0
dritt,Achse,0
drohend,Blitz,0
drohend,Brand,0
drohend,Moments,0
dün,Haar,0
dün,Linie,0
dün,Linie,0
dün,Flecken,0
dün,Mitte,0
dün,Klinge|Klingen,0
dunkel,Zustand,0
dunkel,Spiegel,0
dunkel,Bewegung,0
dunkel,Fläche,0
dunkel,Macht,0
dunkel,Verwaltung,0
dunkel,Operation,0
dunkel,Schreckgespenster,0
dunkel,Gesetz,0
dunkel,Maß,0
dunkel,Raum,0
dunkel,Flecken,0
dunkel,Rauchschwaden,0
dunkel,Garbe,0
dunkel,Manganits,0
dunkel,Sträuße,0
dunkel,Hindernis,0
dunkel,Inschrift,0
dunkel,Oberfläche,0
dunkel,Stein,0
dunkel,Destillation,0
dunkel,Saft,0
dunkel,Rasiermesser,0
dunkel,Obsidiankling,0
dunkel,Messer,0
dunkel,Nacht,0
dunkel,Gegenteil,0
dunkel,Durchsichtigkeit,0
dunkel,Präsenz,0
dunkel,klar,0
dunkel,Nacht,0
dunkel,Schlösser,0
dunkl,Kormoran,0
dunkl,Tauchgang,0
dunkl,wasser,0
dunkl,Feilspan,0
dünn,Gebäude,0
dünn,Dorn,0
dünn,Feder|Federn,0
dünn,Daune,0
dünn,Feuer,0
dünn,Leichtigkeit,0
dünn,Kante,0
dünn,Grat,0
dünn,Wasserstrahl,0
dünn,Festung,0
dünn,Streifen,0
dünn,Qitter,0
dünn,Pfeiler,0
dünn,Panzer,0
dünn,Nerv|Nerven,0
dünn,Aderchen,0
dünn,Untersatz,0
dünn,Pinsel,0
dünn,Himmel,0
durchbr,Stufe,0
durchbr,Zusammenhang,0
durchbr,Wand,0
durchbr,Podest,0
durchbrochen,Rand,0
durchbrochen,Pylon,0
durchbrochen,Raum,0
durchdacht,Stein,0
durchdacht,unter,0
durchdacht,Stein,0
durchdringlich,Vermählung,0
durchdringlich,Unsichtbarem,0
durchdringlich,glänzendem,0
durchgängig,Stein,0
durchgängig,Landschaft,0
durchgängig,Ungeheuer,0
durchscheinend,Bündel,0
durchscheinend,Platte,0
durchscheinend,Archive,0
durchscheinend,See,0
durchscheinend,Fläche,0
durchscheinend,geis,0
durchscheinend,Haarrisse,0
durchscheinend,Kube,0
durchscheinend,Salzes,0
durchscheinend,Gerüste,0
durchscheinend,Materie,0
durchsichtig,Rasiermesser,0
durchsichtig,Obsidiankling,0
durchsichtig,Messer,0
durchtrieben,Hampelmann,0
durchtrieben,Macht,0
dürftig,Bildnis,0
düster,Firmament,0
ebenen,Kette,0
ebenen,Fläche,0
ebenen,Fläche,0
ebenen,Feld,0
ebenen,Zittern,0
eckig,Kursivschrift,0
eckig,klammern,0
eckig,klammern,0
edler,Farbe,0
edler,Bauweise,0
edler,Stoffhat,0
edrisch,Struktur,0
edrisch,Quarz,0
edrisch,Lagerstätte,0
eigen,Opfer,0
eigen,Psalmodie,0
eigen,Anordnung,0
eigen,Kristall,0
eigen,Gestalt,0
eigen,Substanz,0
eigen,Unbedarftheit,0
eigen,Klarheit,0
eigen,Bedeutung,0
eigen,Signatur,0
eigen,Werk,0
eigentlich,Gegenstand,0
eigentlich,Koinzidenz,0
eigentlich,Sinn,0
eigentlich,Wort,0
eigentlich,Gegenstand,0
eigentümlich,Zauber,0
eigentümlich,Spitzengewe,0
eigenwillig,Spitze,0
eilfertig,Weisheit,0
Eindick,Teig,0
Eindick,Umhüllung,0
einen,Nacht,0
einen,Seite,0
einen,Spitze,0
einfach,Sche,0
einfach,Druck,0
einfach,Instrument,0
einfach,erst,0
einfach,Körper,0
einfach,Eigentümlichkeit,0
einfach,Felsen,0
einfach,Gesetzgebung,0
einfach,Kalzits,0
einfach,gleich,0
einfach,Figur,0
einfach,Reiz,0
einfach,Zeichnung,0
einfach,Gestalt,0
einfach,Kettenglied,0
einfach,Gestalt,0
einfach,Gerad,0
einfach,Konsequenz,0
einfach,Bejahung,0
einfallsreich,Phantasie,0
einfallsreich,Passant,0
einfarbig,Linie,0
einfarbig,Flecken,0
einfarbig,Pflaume,0
eingebettet,Körper,0
eingebildet,Aufrage,0
eingebildet,Bauwerk,0
eingedellt,Mitte,0
eingedellt,Lini,0
eingedellt,Mund,0
eingedellt,Entwurf,0
eingefroren,Schlichtheit,0
eingefroren,Licht,0
eingefroren,Gerüste,0
eingekrümm,Linie,0
eingekrümm,Körper,0
eingepfercht,Elektrizität,0
eingepfercht,Heupferdchen,0
eingepfercht,Peitsche,0
eingerollt,Rudel,0
eingerollt,Mammute,0
eingerollt,Stoßzähne,0
eingerollt,spitz,0
eingeschreiben,Chiffre,0
einheitlich,Winkeldreieck,0
einheitlich,Material,0
einheitlich,Transparenz,0
einhundertzwan,Käferart,0
einhundertzwan,Schmetterlingsart,0
einhundertzwan,Minerale,0
einspringend,Leerstelle,0
einspringend,Winkel,0
einspringend,Saum,0
eintönig,derung,0
eintönig,Profil,0
eintönig,Kalksteine,0
einzeln,ziegel,0
einzeln,Stelle|Stellen,0
einzeln,nichts,0
einzeln,Zwilling,0
einzig,Sprache,0
einzig,laut,0
einzig,Schrei,0
einzig,laut,0
einzig,Schrei,0
einzig,Warnung,0
einzig,Rune,0
einzig,Feucht,0
einzig,Pigment,0
einzig,Bojen,0
einzig,Wappen,0
einzig,Schrag,0
einzig,Gesichtsrest,0
einzig,Körper,0
einzig,Mutmaßen,0
einzig,Belch,0
einzig,nung,0
einzig,Seite,0
einzig,Art,0
einzig,Tetracder,0
einzig,Oberfläche,0
einzig,Dreieck,0
einzig,Schliff,0
einzig,Mangel,0
einzig,Einfachheit,0
einzig,Flecken,0
einzig,rußschwarze,0
einzig,Grund.,0
einzig,Art,0
einzig,Brücke,0
einzig,Silhouette,0
einzig,Insekt,0
einzig,Gallert,0
einzig,Ausgestaltung,0
einzig,Mensch,0
einzig,Zeichnung,0
einzig,Strahlenkranz,0
einzig,Schrecken,0
einzig,Gesetz,0
einzig,Sandweite,0
einzig,Wesen,0
einzig,Metall,0
einzigartig,Gleichgewicht,0
einzigartig,Bildung,0
einzigartig,Händ,0
einzigartig,Armel,0
einzigartig,Vorgebirge,0
eisig,Abwesenheit,0
eisig,Bild,0
elementar,Stierkämpfen,0
elementar,Umzug,0
elementar,Chromosom,0
elementar,Kräf,0
elementar,Geometrie,0
elementar,Kreis,0
elfenbeinfarben,Winkel,0
elfenbeinfarben,Saum,0
