"","paper","id","a","t"
"11","lit-ki","11","Der Kern unserer Treffen war die Gruppe gewesen, die in  Princeton  1944 versammelt war, aber die Doktoren  McCulloch  und  FremontSmith  hatten richtig die psychologischen und soziologischen Beziehungen des Themas erkannt und der Gruppe eine Anzahl von führenden Psychologen, Soziologen und Anthropologen hinzugeladen ","## 11
Der Kern unserer Treffen war die Gruppe gewesen, die in  Princeton  1944 versammelt war, aber die Doktoren  McCulloch  und  FremontSmith  hatten richtig die psychologischen und soziologischen Beziehungen des Themas erkannt und der Gruppe eine Anzahl von führenden Psychologen, Soziologen und Anthropologen hinzugeladen 
"
"12","lit-ki","12","Vieles von der früheren Psychologie hat sich als nichts anderes als die Physiologie der speziellen Sinnesorgane herausgestellt, und das gesamte Gewicht des Gedankengutes, das die Kybernetik in die Psychologie hineinträgt, betrifft die Physiologie und Anatomie ","## 12
Vieles von der früheren Psychologie hat sich als nichts anderes als die Physiologie der speziellen Sinnesorgane herausgestellt, und das gesamte Gewicht des Gedankengutes, das die Kybernetik in die Psychologie hineinträgt, betrifft die Physiologie und Anatomie 
"
"13","lit-ki","13","Von Anfang an haben wir vorausgesehen, daß das Problem des Erkennens von »Gestalter« oder der wahrnehmbaren Formation der Allgemeinbegriffe zu dieser Art gehδren würde. Was ist der Mechanismus, durch den wir ein Quadrat als ein Quadrat erkennen, ohne Rllcksicht auf seine Lage, seine Größe und seine Orientierung ","## 13
Von Anfang an haben wir vorausgesehen, daß das Problem des Erkennens von »Gestalter« oder der wahrnehmbaren Formation der Allgemeinbegriffe zu dieser Art gehδren würde. Was ist der Mechanismus, durch den wir ein Quadrat als ein Quadrat erkennen, ohne Rllcksicht auf seine Lage, seine Größe und seine Orientierung 
"
"14","lit-ki","14","Was die Soziologie und Anthropologie betrifft, ist es offenkundig, daB die Information und Übertragung als Mechanismus der fortschreitenden Organisation vom Einzelwesen zur Gemeinschaft von Bedeutung ist ","## 14
Was die Soziologie und Anthropologie betrifft, ist es offenkundig, daB die Information und Übertragung als Mechanismus der fortschreitenden Organisation vom Einzelwesen zur Gemeinschaft von Bedeutung ist 
"
"15","lit-ki","15","erstes Treffen, das im Frühling 1946 abgehalten wurde, war größtenteils didaktischen Vorträgen für diejenigen von uns gewidmet, die beim  Princeton-Treffen dabeigewesen waren, und einer allgemeinen Festlegung der Bedeutung des Gebietes für alle Anwesenden ","## 15
erstes Treffen, das im Frühling 1946 abgehalten wurde, war größtenteils didaktischen Vorträgen für diejenigen von uns gewidmet, die beim  Princeton-Treffen dabeigewesen waren, und einer allgemeinen Festlegung der Bedeutung des Gebietes für alle Anwesenden 
"
"16","lit-ki","16","ein nervliches Problem direkt mit dem Begriff der Rückkopplung zu behandeln ","## 16
ein nervliches Problem direkt mit dem Begriff der Rückkopplung zu behandeln 
"
"17","lit-ki","17","Dieses näherungsweise logarithmische Verhalten des Synapsenmechanismus hängt sicher damit zusammen, daß das Weber-Fechnersche Gesetz der Reizintensität logarithmisch ist, obgleich dieses Gesetz nur eine erste Näherung darstellt. ","## 17
Dieses näherungsweise logarithmische Verhalten des Synapsenmechanismus hängt sicher damit zusammen, daß das Weber-Fechnersche Gesetz der Reizintensität logarithmisch ist, obgleich dieses Gesetz nur eine erste Näherung darstellt. 
"
"18","lit-ki","18","McCulloch  war vor das Problem gestellt worden, einen Apparat zu konstruieren, der den Blinden in die Lage versetzen sollte, die gedruckte Seite mit Hilfe des Ohres zu lesen ","## 18
McCulloch  war vor das Problem gestellt worden, einen Apparat zu konstruieren, der den Blinden in die Lage versetzen sollte, die gedruckte Seite mit Hilfe des Ohres zu lesen 
"
"19","lit-ki","19","Es ist bestimmt so, daB das soziale System eine Organisation ähnlich dem Einzelwesen ist ","## 19
Es ist bestimmt so, daB das soziale System eine Organisation ähnlich dem Einzelwesen ist 
"
"20","lit-ki","20","Es gibt zwei andere Gebiete, wo ich letztlich hoffe, einiges mit Hilfe kybernetischer Gedanken tatsächlich zustande zu bringen, bei denen diese Hoffnung jedoch auf weitere Entwicklungen warten muß. Eines davon betrifft Prothesen für verlorene oder verkümmerte Glieder ","## 20
Es gibt zwei andere Gebiete, wo ich letztlich hoffe, einiges mit Hilfe kybernetischer Gedanken tatsächlich zustande zu bringen, bei denen diese Hoffnung jedoch auf weitere Entwicklungen warten muß. Eines davon betrifft Prothesen für verlorene oder verkümmerte Glieder 
"
"21","lit-ki","21","Es war mir schon lange klar gewesen, daß die modernen, ultraschnellen Rechenmaschinen im Prinzip ein ideales zentrales Nervensystem für eine automatische Regelungsanlage waren und daB ihre Eingaben und Ausgänge nicht die Form von Zahlen oder Diagrammen haben müssen, sondern sehr gut Äußerungen von künstlichen Sinnesorganen sein können, wie z. B. von photoelektrischen Zellen oder Thermometern bzw. die Wirkungen von Motoren oder Magnetspulen. Mit der Hilfe von Spannungsmessern oder ähnlichen Hilfsmitteln, die die Wirkungen dieser Motororgane lesen und berichten und zu dem zentralen Steuerungssystem als einem künstlichen kinästhetischen Sinn zurückkoppeln, sind wir bereits in der Lage, künstliche Maschinen von fast jedem Grad sorgfältiger Arbeitsleistung zu konstruieren ","## 21
Es war mir schon lange klar gewesen, daß die modernen, ultraschnellen Rechenmaschinen im Prinzip ein ideales zentrales Nervensystem für eine automatische Regelungsanlage waren und daB ihre Eingaben und Ausgänge nicht die Form von Zahlen oder Diagrammen haben müssen, sondern sehr gut Äußerungen von künstlichen Sinnesorganen sein können, wie z. B. von photoelektrischen Zellen oder Thermometern bzw. die Wirkungen von Motoren oder Magnetspulen. Mit der Hilfe von Spannungsmessern oder ähnlichen Hilfsmitteln, die die Wirkungen dieser Motororgane lesen und berichten und zu dem zentralen Steuerungssystem als einem künstlichen kinästhetischen Sinn zurückkoppeln, sind wir bereits in der Lage, künstliche Maschinen von fast jedem Grad sorgfältiger Arbeitsleistung zu konstruieren 
"
"22","lit-ki","22","Es kann sehr wohl fΥr die Menschheit gut sein, Maschinen zu besitzen, die sie von der Notwendigkeit niedriger und unangenehmer Aufgaben befreien, oder es kann auch nicht gut sein. Ich weiß es nicht. Es kann nicht gut sein, diese neuen Kräfteverhältnisse in den Begriffen des Marktes abzuschätzen, des Geldes, das sie verdienen; und es sind genau die Begriffe des freien Marktes, des  »fifth freedom«,  die die Losungsworte des Teiles der amerikanischen Meinung wurden, der durch die National  Association  of  Manufacturers  und die  Saturday Evening  Post repräsentiert wird ","## 22
Es kann sehr wohl fΥr die Menschheit gut sein, Maschinen zu besitzen, die sie von der Notwendigkeit niedriger und unangenehmer Aufgaben befreien, oder es kann auch nicht gut sein. Ich weiß es nicht. Es kann nicht gut sein, diese neuen Kräfteverhältnisse in den Begriffen des Marktes abzuschätzen, des Geldes, das sie verdienen; und es sind genau die Begriffe des freien Marktes, des  »fifth freedom«,  die die Losungsworte des Teiles der amerikanischen Meinung wurden, der durch die National  Association  of  Manufacturers  und die  Saturday Evening  Post repräsentiert wird 
"
"23","lit-ki","23","Die moderne industrielle Revolution ist in ähnlicher Weise dazu bestimmt, das menschliche Gehirn zu entwerten, wenigstens in seinen einfacheren und mehr routinemäßigen Entscheidungen ","## 23
Die moderne industrielle Revolution ist in ähnlicher Weise dazu bestimmt, das menschliche Gehirn zu entwerten, wenigstens in seinen einfacheren und mehr routinemäßigen Entscheidungen 
"
"24","lit-ki","24","Natürlich, gerade wie der gelernte Zimmermann, der gelernte Mechaniker, der gelernte Schneider in gewissem Grade die erste industrielle Revolution überlebt haben, können der erfahrene Wissenschaftler und der erfahrene Verwaltungsbeamte die zweite überleben. Wenn man sich jedoch die zweite Revolution abgeschlossen denkt, hat das durchschnittliche menschliche Wesen mit mittelmäßigen oder noch geringeren Kenntnissen nichts zu verkaufen, was für irgend jemanden das Geld wert wäre ","## 24
Natürlich, gerade wie der gelernte Zimmermann, der gelernte Mechaniker, der gelernte Schneider in gewissem Grade die erste industrielle Revolution überlebt haben, können der erfahrene Wissenschaftler und der erfahrene Verwaltungsbeamte die zweite überleben. Wenn man sich jedoch die zweite Revolution abgeschlossen denkt, hat das durchschnittliche menschliche Wesen mit mittelmäßigen oder noch geringeren Kenntnissen nichts zu verkaufen, was für irgend jemanden das Geld wert wäre 
"
"25","lit-ki","25","Diejenigen von uns, die zu der neuen Wissenschaft Kybernetik beigetragen haben, sind in einer moralischen Lage, die, um es gelinde auszudrücken, nicht sehr bequem ist. Wir haben zu der Einführung einer neuen Wissenschaft beigesteuert, die, wie ich gesagt habe, technische Entwicklungen mit großen Möglichkeiten für Gut oder Böse umschließt. Wir können sie nur in die Welt weitergeben, die um uns existiert, und dies ist die Welt von Belsen und Hiroshima ","## 25
Diejenigen von uns, die zu der neuen Wissenschaft Kybernetik beigetragen haben, sind in einer moralischen Lage, die, um es gelinde auszudrücken, nicht sehr bequem ist. Wir haben zu der Einführung einer neuen Wissenschaft beigesteuert, die, wie ich gesagt habe, technische Entwicklungen mit großen Möglichkeiten für Gut oder Böse umschließt. Wir können sie nur in die Welt weitergeben, die um uns existiert, und dies ist die Welt von Belsen und Hiroshima 
"
"26","lit-ki","26","Das Beste, was wir tun können, ist, zu versuchen, daB eine breite Öffentlichkeit die Richtung und die Lage der gegenwärtigen Arbeit versteht, und unsere persönlichen Anstrengungen auf die Gebiete zu beschränken, die, wie z. B. Physiologie und Psychologie, am weitesten von Krieg und Unterdrückung entfernt sind. ","## 26
Das Beste, was wir tun können, ist, zu versuchen, daB eine breite Öffentlichkeit die Richtung und die Lage der gegenwärtigen Arbeit versteht, und unsere persönlichen Anstrengungen auf die Gebiete zu beschränken, die, wie z. B. Physiologie und Psychologie, am weitesten von Krieg und Unterdrückung entfernt sind. 
"
"27","lit-ki","27","Seit jener Zeit ist die Wissenschaft in zunehmendem Maß die Aufgabe von Spezialisten geworden; auf Gebieten, die die Tendenz zeigen, ständig näher zusammenzuwachsen ","## 27
Seit jener Zeit ist die Wissenschaft in zunehmendem Maß die Aufgabe von Spezialisten geworden; auf Gebieten, die die Tendenz zeigen, ständig näher zusammenzuwachsen 
"
"28","lit-ki","28","Wir haben jahrelang von einem Institut mit unabhängigen Wissenschaftlern geträumt, die gemeinsam in diesen Hinterwäldern der Wissenschaft arbeiten würden; nicht als Untergeordnete irgendeines hohen Exekutivbeamten, sondern vereint durch den Wunsch — ja durch die geistige Notwendigkeit —, das Teilgebiet als Ganzes zu verstehen und einander zu diesem Verstehen zu verhelfen ","## 28
Wir haben jahrelang von einem Institut mit unabhängigen Wissenschaftlern geträumt, die gemeinsam in diesen Hinterwäldern der Wissenschaft arbeiten würden; nicht als Untergeordnete irgendeines hohen Exekutivbeamten, sondern vereint durch den Wunsch — ja durch die geistige Notwendigkeit —, das Teilgebiet als Ganzes zu verstehen und einander zu diesem Verstehen zu verhelfen 
"
"29","lit-ki","29","Wir mußten deshalb eine Methode Enden, die zukünftige Position des Flugzeuges vorherzusagen ","## 29
Wir mußten deshalb eine Methode Enden, die zukünftige Position des Flugzeuges vorherzusagen 
"
"30","lit-ki","30","ein außerordentlich wichtiger Faktor im willensgesteuerten Handeln das ist, was die Regelungstechniker mit Ruckkopplung bezeichnen ","## 30
ein außerordentlich wichtiger Faktor im willensgesteuerten Handeln das ist, was die Regelungstechniker mit Ruckkopplung bezeichnen 
"
"31","lit-ki","31","Hier geniigt die Feststellung, daB bei einer von einem Muster gelenkten Bewegung die Abweichung der wirklich durchgeführten Bewegung von diesem Muster als neue Eingabe benutzt wird, um den geregelten Teil zu veranlassen, die Bewegung dem Muster naherzubringen. ","## 31
Hier geniigt die Feststellung, daB bei einer von einem Muster gelenkten Bewegung die Abweichung der wirklich durchgeführten Bewegung von diesem Muster als neue Eingabe benutzt wird, um den geregelten Teil zu veranlassen, die Bewegung dem Muster naherzubringen. 
"
"32","lit-ki","32","Nehmen wir nun an, daB ich einen Bleistift aufhebe, so muB ich, um dieses zu tun, gewisse Muskeln bewegen. Jedoch jeder von uns, ausgenommen wenige Anatomieexperten, weiß nicht, welches diese Muskeln sind, und sogar unter den Anatomen gibt es wenige, wenn es ilberhaupt welche gibt, die diese Handlung durch eine bewußte Willenssteuerung der Kontraktion jedes betreffenden Muskels ausführen können. Was wir hingegen wollen, ist, den Bleistift aufzuheben. Haben wir dies einmal beschlossen, so schreitet unsere Bewegung derart fort, daß wir grob sagen können, daß der Grad, zu welchem der Bleistift noch nicht aufgehoben ist, mit jedem Bewegungsstadium vermindert wird. Dieser Teil der Aktion ist nicht voll im Bewußtsein. ","## 32
Nehmen wir nun an, daB ich einen Bleistift aufhebe, so muB ich, um dieses zu tun, gewisse Muskeln bewegen. Jedoch jeder von uns, ausgenommen wenige Anatomieexperten, weiß nicht, welches diese Muskeln sind, und sogar unter den Anatomen gibt es wenige, wenn es ilberhaupt welche gibt, die diese Handlung durch eine bewußte Willenssteuerung der Kontraktion jedes betreffenden Muskels ausführen können. Was wir hingegen wollen, ist, den Bleistift aufzuheben. Haben wir dies einmal beschlossen, so schreitet unsere Bewegung derart fort, daß wir grob sagen können, daß der Grad, zu welchem der Bleistift noch nicht aufgehoben ist, mit jedem Bewegungsstadium vermindert wird. Dieser Teil der Aktion ist nicht voll im Bewußtsein. 
"
"33","lit-ki","33","Die Nachricht ist eine zeitlich diskret oder stetig verteilte Folge meßbarer Ereignisse — genau das, was von den Statistikern ein Zufallsprozeß genannt wird. Die Vorhersage der Zukunft einer Nachricht geschieht durch irgendeine Operation auf ihre Vergangenheit, gleichgültig, ob dieser Operator durch ein mathematisches Rechenschema oder durch einen mechanischen oder elektrischen Apparat verwirklicht wird. ","## 33
Die Nachricht ist eine zeitlich diskret oder stetig verteilte Folge meßbarer Ereignisse — genau das, was von den Statistikern ein Zufallsprozeß genannt wird. Die Vorhersage der Zukunft einer Nachricht geschieht durch irgendeine Operation auf ihre Vergangenheit, gleichgültig, ob dieser Operator durch ein mathematisches Rechenschema oder durch einen mechanischen oder elektrischen Apparat verwirklicht wird. 
"
