#1|spanned text	#2|spanned text	#3|spanned text	#4|spanned text	count
brucht	...	okay	?!	1
woo	redactedQ3tokens16characters	okk	,	1
schnauzä	voll	okay	?!	1
herdöpfel	gürkli	okay	bin	1
Maybe	baby	oke	emojiQokHandSign	1
redactedQ11tokens52characters	Ah	oke	^^	1
:p	haha	okay	emojiQsmilingFaceWithSmilingEyes	1
life	hahahah	oke	emojiQfaceWithTearsOfJoy	1
?	Aha	oke	Rendiert	1
cheks	ned	oke	einersits	1
redactedQ6tokens30characters	Ah	okee	cool	1
;))	haha	oke	guetnacht	1
zmittag	?	oke	nid	1
Isch	das	okay	?	1
vorschlag	?	oki	danke	1
redactedQ33tokens183characters	Ah	oke	,	1
redactedQ8tokens39characters	Hmm	okee	:	1
redactedQ5tokens27characters	Hahahah	okay	redactedQ5tokens19characters	1
brucht	.	okay	gmües	1
redactedQ3tokens12characters	Hahah	oki	:)	1
tomorrow	!	okay	.	1
?	redactedQ1tokens9characters	oki	den	1
yolo	ahahhahaha	oke	also	1
redactedQ5tokens12characters	Klingt	okay	:-D	1
redactedQ6tokens31characters	redactedQ1tokens6characters	okee	was	1
typisch	Hahaha	oke	mediaQremoved	1
redactedQ16tokens75characters	Haha	okay	emojiQfaceThrowingAKiss	1
wage	9.	oki	agnehm	1
ässe	,	okay	?	1
beste	Haha	oke	Und	1
!	ahahaha	oke	stimmt	1
redactedQ5tokens26characters	Hhah	oki	emojiQfaceWithTearsOfJoy	1
hollä	.	okay	trotz	1
zero	:)	okee	denn	1
sicheer	:)	okee	:)	1
no	recharchiere	oke	stimmt	1
klassereis	ja	oke	denn	1
redactedQ1tokens2characters	Ah	okey	redactedQ2tokens11characters	1
redactedQ3tokens28characters	Hahaha	oki	redactedQ4tokens16characters	1
emojiQthumbsUpSign	Ah	okey	mediaQremoved	1
churz	dushe	oke	hüt	1
egaal	ah	okk	haha	1
züri	!	okay	i	1
kurs	?	okay	.	1
hhah	ä	okay	gruppe	1
verstoh	.	okay	jo	1
redactedQ8tokens30characters	Ah	oke	:)	1
emojiQtwoHearts	payy	okee	viel	1
noch	nicht	oke	jez	1
redactedQ9tokens38characters	redactedQ7tokens31characters	okk	machi	1
hahahahah	hah	oke	broo	1
Jiajio	ganz	oke	^^	1
gachtet	hm	okee	:)	1
abflüge	meini	oke	eif	1
emojiQfaceWithTearsOfJoy	haha	okay	emojiQokHandSign	1
blog	hahaha	oki	doki	1
emojiQpurpleHeart	hehe	oki	;)	1
ziit	!	okay	tja	1
Hemmer	ah	oke	Y	1
redactedQ8tokens47characters	Hahaha	oki	emojiQfaceThrowingAKiss	1
emojiQheartWithArrow	emojiQheartWithArrow	oki	emojiQseeNoEvilMonkey	1
no	ordentlich	okey	jo	1
den	ish	oke	redactedQ7tokens34characters	1
mussen	finde	oki	doki	1
hahah	ah	okk	;))	1
schaff	dä	okay	.	1
stund	Haha	oke	bisch	1
werde	?	oki	danke	1
ned	hahaha	oke	mediaQremoved	1
emojiQokHandSign	Ahahah	oki	emojiQwhiteSmilingFace	1
sheisse	ahahha	oke	ja	1
z	bdorf	okee	i	1
redactedQ13tokens78characters	Ah	okey	emojiQsmilingFaceWithOpenMouthAndSmilingEyes	1
redactedQ2tokens11characters	Hh	oke	^^	1
redactedQ17tokens66characters	Ah	okay	...	1
redactedQ9tokens53characters	Hahah	oki	emojiQheavyBlackHeart	1
ticketcorner	...	okay	i	1
moms	Mileys	oke	ich	1
:(	hahaha	oke	Nöd	1
emojiQsurfer	aah	okay	..	1
..	jäsoo	oki	emojiQfaceThrowingAKiss	1
ned	gstresst	oke	wo	1
schrib	nochher	oke	?	1
hosä	...	okay	chönnd	1
sechsi	redactedQ6tokens33characters	oki	i	1
usgeh	tru	oke	denn	1
redactedQ5tokens29characters	Ah	okay	guet	1
??	redactedQ2tokens10characters	okay	redactedQ5tokens19characters	1
lugano	Ah	oki	:)	1
hett	ja	oke	stimmt	1
it	hahaha	oke	u	1
ufgfqlle	haha	okk	mercii	1
0	hahaha	okay	i	1
redactedQ11tokens67characters	redactedQ9tokens42characters	oki	thx	1
sheiss	amerke	oke	haha	1
beraait	:)	oke	emm	1
emojiQsmirkingFace	Hahaha	okey	emojiQfaceThrowingAKiss	1
...	joooo	oke	haha	1
redactedQ15tokens74characters	Ah	okey	redactedQ4tokens20characters	1
redactedQ12tokens52characters	Hahah	okk	^^	1
redactedQ1tokens2characters	Haha	okk	^^	1
:D	Hahaha	oki	ich	1
dihei	:/	oke	:/	1
redactedQ1tokens7characters	Hahaha	oki	emojiQfaceWithTearsOfJoy	1
redactedQ9tokens47characters	Ah	oke	,	1
fahrschuel	!	okay	chasch	1
:)	hahaha	okay	:D	1
:D	hahaha	okay	:)	1
guet	emojiQsmilingFaceWithSmilingEyes	okee	:)	1
ned	secher	okee	jaa	1
tierarzt	isch	okay	.	1
redactedQ24tokens120characters	Haha	okay	da	1
Hahah	jaa	oke	denn	1
du	bitch	oke	hans	1
redactedQ7tokens38characters	Haha	okey	,	1
'	!	oke	oke	1
/	e	oke	tru	1
wart	haha	okee	:)	1
D	:	oke	gib	1
i	.	oki	ha	1
?	:)	oke	:)	1
?	:)	oki	bb	1
u	@	oke	han	1
Esch	ou	okey	redactedQ1tokens1characters	1
.	ah	oke	..	1
?	;)	okk	denn	1
?	7i	oki	gönd	1
s	us	oke	und	1
?	Ja	oke	also	1
?	ah	oki	haha	1
macht	ahh	oke	merci	1
denn	eppis	oke	si	1
gell	:D	okee	ich	1
lang	blibe	okay	wo	1
schuel	kunnsch	oki	?	1
redactedQ6tokens29characters	Haha	okay	...	1
redactedQ40tokens213characters	Hahah	oke	;)	1
Ju	emojiQflushedFace	okey	...	1
redactedQ3tokens14characters	Ah	okey	redactedQ2tokens10characters	1
wegtue	.	okey	aso	1
02	ah	oki	doki	1
redactedQ6tokens25characters	Hahah	oke	entweder	1
lang	ah	oke	muesh	1
:)	Ah	oke	Was	1
:)	ah	oke	:	1
:)	ah	oke	so	1
:0	oh	oke	:(	1
dihai	!	okay	i	1
:)	ah	oki	cool	1
:0	ah	oke	denn	1
redactedQ4tokens20characters	Haga	okey	Haha	1
dir	chömet	oki	ha	1
emojiQfaceWithStuckOutTongueAndWinkingEye	also	okay	.	1
Hahah	Sho	okee	xD	1
halbi	!!!	okay	.	1
*	Oha	oke	He	1
redactedQ2tokens20characters	Ahhaha	oke	ich	1
hammr	ish	oke	?	1
Nei	isch	oke	muesch	1
redactedQ5tokens22characters	emojiQsmilingFaceWithSmilingEyes	oke	redactedQ5tokens27characters	1
^^	Ah	oki	de	1
eini	zuetue	okee	chani	1
"	aha	oke	:/	1
?	ahh	okk	:D	1
am	8i	oki	han	1
min	jo	okkk	mediaQremoved	1
En	stadtblog	okee	halb	1
11	:/)	oke	:/	1
i	han	oki	ha	1
?	:/	oki	gueet	1
2	!	okay	s6	1
8	!	okay	.	1
!	Ah	okay	,	1
3	min	oki	?	1
?	!	okay	....	1
x	)	okey	:-)	1
?	:)	okee	ein	1
?	:)	okee	the	1
ka	67	okk	denn	1
?	No	okee	U	1
.	ah	okay	.	1
..	Aah	oke	..	1
-	*	okay	haha	1
.	hm	okay	...	1
ml	4	oki	plus	1
6	)	okee	wart	1
?	:D	okay	fein	1
so	?	oki	.	1
blöd	ja	oke	hesh	1
!	oke	oke	aber	1
oh	ja	oke	aber	1
ss	ss	oke	oke	1
berge	Interlakwn	oki	doki	1
bliibä	ah	okay	.	1
wo	?	oki	Info	1
holle	^^	okee	emojiQfaceWithTearsOfJoy	1
..	Mhh	oke	..	1
ussem	wc	oke	haha	1
eis	redactedQ1tokens3characters	okk	mit	1
aha	ja	oke	demfall	1
Ja	Hmm	oke	Ich	1
ich	weiss	okee	bish	1
redactedQ2tokens10characters	hahah	okee	redactedQ27tokens120characters	1
..	:)	okee	:)	1
46	det	oki	bish	1
am	schluss	oke	?	1
..	Ak	okay	,	1
20	%	okay	;-)	1
10	min	oki	:*	1
worry	ohh	oki	doki	1
37	?	okay	.	1
46	!	okay	.	1
..	Ok	okey	okey	1
30	min	oki	doki	1
Hahaha	jaa	oke	stimmt	1
oke	oke	oke	mediaQremoved	1
:)	ish	oke	weni	1
redactedQ3tokens11characters	Haha	okay	Loveu	1
10	vor	oke	?	1
Bien	bien	oke	han	1
9i	.	okey	....	1
ah	Ah	oke	Chume	1
20	vor	oki	?	1
:)	ah	okay	!	1
:0	oke	oke	bin	1
:)	Ah	okee	Wenn	1
morn	isch	okay	?	1
;)	Ah	okee	Zeig	1
:)	ah	okay	jaja	1
:D	sho	oke	bro	1
redactedQ2tokens7characters	Haahha	oki	emojiQsmilingFaceWithSmilingEyes	1
?	Aah	okee	,	1
redactedQ2tokens6characters	Hahaha	oki	Wenn	1
lied	*	oke	haha	1
ed	blibt	oke	merci	1
zum	ischüchtere	okee	emojiQwhiteSmilingFace	1
Wo	aha	oke	also	1
?	Nei	okay	...	1
redactedQ3tokens12characters	Hahahah	okidoki	emojiQvictoryHand	1
bahnhof	?	okay	banana	1
bi	dir	oke	?	1
nogholt	hend	okay	aber	1
wiiter	!!	okay	.	1
ah	ebe	oke	shik	1
^^	Ja	okay	es	1
ab	?	okay	.	1
ab	?	okay	i	1
ah	.	okay	jep	1
am	6	okay	i	1
so	schmuck	oke	denn	1
gmscht	haha	okk	mac	1
bi	mir	oki	;**	1
du	?	okay	i	1
am	hb	okee	am	1
digei	Okokk	oke	4	1
au	!	okay	isch	1
au	no	okay	jo	1
bi	ah	okay	:)	1
de	:P	okey	:-)	1
da	au	okee	?	1
go	!	okay	.	1
du	ah	okee	...	1
hb	.	okey	!	1
*	haa	okee	:)	1
do	si	okay	easy	1
?	jep	okay	i	1
schaffe	Ah	okay	,	1
ka	..	okee	:)	1
?	Jo	okay	hesch	1
ez	nöd	oki	den	1
ih	ui	okay	.	1
s	ish	okay	^^	1
ja	ole	oke	#	1
no	.	okay	i	1
no	,	okey	?	1
2	min	okay	:)	1
5	min	okey	?	1
2	mol	okay	?	1
..	Aah	okee	,	1
..	Aah	okee	!!	1
no	Si	okay	.	1
no	!	okay	denn	1
redactedQ20tokens88characters	Üh	okey	^^	1
guet	haha	okk	mediaQremoved	1
me	too	oke	?	1
ss	oke	oke	oke	1
..	Hmm	okee	..	1
zu	mir	oki	?	1
si	ah	oki	sorry	1
emojiQfaceWithTearsOfJoy	hahaha	oke	:')	1
:D	Aah	okee	Denn	1
emojiQeyes	hahahha	okay	kennsch	1
z	tüf	okee	tuet	1
emojiQfaceSavouringDeliciousFood	hahahahaha	okay	isch	1
redactedQ5tokens20characters	Aah	okay	Ich	1
dra	?	oke	demfall	1
no	redactedQ9tokens43characters	oki	schlaf	1
redactedQ3tokens9characters	Hahah	oki	emojiQseeNoEvilMonkey	1
ned	schribe	oke	mediaQremoved	1
emojiQyellowHeart	ah	oke	:)	1
hahahahahah	ne	oke	nei	1
muss	luege	oki	emojiQheavyBlackHeart	1
redactedQ14tokens69characters	Hui	okey	..	1
diheime	hmm	oke	aber	1
ha	...	okay	.	1
7	!!!	okay	suppi	1
en	3.5	okee	:)	1
:)	aha	okay	:)	1
:)	aha	okay	:D	1
:)	ahh	okee	:)	1
[UserName]	haha	okay	mediaQremoved	1
10	min	oki	morgä	1
13	ouu	okee	:))	1
..	ouu	okee	wenn	1
us	...	okay	.	1
bock	?	okay	merci	1
redactedQ4tokens25characters	redactedQ3tokens24characters	okkk	oidar	1
^^	Joa	okay	^^	1
:D	hm	okay	nomel	1
<33	Hahaha	oki	redactedQ3tokens20characters	1
emojiQheavyBlackHeart	oh	oki	emojiQseeNoEvilMonkey	1
wet	ah	oke	mediaQremoved	1
redactedQ2tokens6characters	Ah	oke	nix	1
emojiQsmilingFaceWithOpenMouthAndSmilingEyes	hahaha	okay	:)	1
redactedQ7tokens34characters	Hui	okey	redactedQ8tokens44characters	1
emojiQsmilingFaceWithOpenMouthAndSmilingEyes	hahaha	okay	häfi	1
nonal	haha	okee	ich	1
redactedQ3tokens16characters	Ah	okay	redactedQ3tokens16characters	1
redactedQ3tokens15characters	aah	okee	..	1
es	ish	okay	;-)	1
es	ish	okay	ich	1
emojiQtongue	emojiQheavyBlackHeart	oke	ia	1
ni	mit	okey	?	1
zo	dir	okay	?	1
glich	Hahahahah	okey	schad	1
!	emojiQfaceThrowingAKiss	okay	.	1
z'	wit	okee	..	1
nacher	ah	oki	emojiQgrinningFaceWithSmilingEyes	1
emojiQperseveringFace	amahnn	okee	:D	1
grad	langä	okay	und	1
feshdiputz	redactedQ3tokens20characters	okay	han	1
redactedQ3tokens19characters	Haha	okey	Ned	1
haarkur	ah	oke	und	1
Fendi	ned	okey	!	1
redactedQ2tokens10characters	redactedQ3tokens14characters	okidoki	emojiQthumbsUpSign	1
emojiQsparklingHeart	ahaa	oke	haha	1
redactedQ7tokens34characters	Ahh	okk	emojiQokHandSign	1
bruuuutal	Hahaha	oke	er	1
redactedQ3tokens14characters	redactedQ6tokens32characters	okidoki	schlaf	1
;)	ahh	okay	merci	1
hm	...	okay	zyxel	1
stigsh	ih	oke	mir	1
?!	ahh	okee	sorry	1
klaaar	machidas	oki	wart	1
scheisse	!	okay	den	1
redactedQ5tokens28characters	Ahh	okk	(:	1
redactedQ5tokens28characters	Ahh	okk	:$	1
emojiQgrinningFaceWithSmilingEyes	haha	okk	:)	1
url	Alrighty	okay	Maybe	1
zuffi	mediaQremoved	oki	?	1
chönne	hahaha	oke	ich	1
Haha	Haha	okee	Looos	1
heisse	;)	okee	beiibeii	1
redactedQ6tokens37characters	Ja	okay	^^	1
komisch	hahaha	okk	merci	1
emojiQfaceWithTearsOfJoy	ah	oke	ja	1
in	starbucks	oki	doki	1
emojiQfaceWithTearsOfJoy	Ja	oke	morn	1
emojiQfaceWithTearsOfJoy	ah	oki	doki	1
redactedQ4tokens19characters	Hmm	okk	....	1
gsii	aah	oki	:)	1
ha	gseut	oke	...	1
emojiQfaceThrowingAKiss	hehe	okee	mercii	1
gsii	.	okay	,	1
unterwägs	!	okay	i	1
leb	normal	oke	du	1
sorge	haha	oki	doki	1
verbie	emojiQfaceWithTearsOfJoy	okee	haha	1
bahnhof	gell	okay	susht	1
://	emojiQtwoHearts	okee	:/	1
redactedQ1tokens1characters	Haha	oke	Kei	1
viel	ah	oke	:)	1
!	emojiQwhiteSmilingFace	okee	:)	1
eis	dihai	okay	.	1
redactedQ3tokens17characters	Esch	okey	redactedQ3tokens12characters	1
aha	iiih	oke	hahaha	1
redactedQ4tokens18characters	Oh	okay	redactedQ13tokens62characters	1
emojiQfaceThrowingAKiss	Haha	oke	Guet	1
guet	?	okay	.	1
:))	haha	okk	:))	1
guet	!	okay	freu	1
protein	shake	okay	Aber	1
telefonierä	.	okey	i	1
mich	warte	oki	emojiQheavyBlackHeart	1
weniger	!	okay	nur	1
emojiQfaceWithTearsOfJoy	ah	okay	Haha	1
*_*	wers	oke	weni	1
ca.	Glich	okay	het	1
hahah	hahah	oki	doki	1
Pro	stund	oke	Ond	1
das	tönt	oke	emojiQheavyBlackHeart	1
?	redactedQ7tokens35characters	okk	han	1
emojiQsmilingFaceWithOpenMouthAndSmilingEyes	aha	okay	:D	1
isch	würklich	okay	.	1
ussa	hahah	oke	;)	1
redactedQ12tokens68characters	ahh	okey	eini	1
eifach	hahahahaha	oke	demfall	1
komishe	^^	okee	^^	1
gar	naned	okay	:)	1
em	laminiergerät	oke	sho	1
plan	!!!!	okay	was	1
wegem	sa	okee	mediaQremoved	1
warum	?	okee	wie	1
han	haha	oke	gshrib	1
emojiQwhiteSmilingFace	Haaha	okay	:D	1
ned	dehei	oke	zspat	1
bi	?	okidoki	mediaQremoved	1
no	luege	oki	doki	1
nachem	znacht	oki	?	1
lust	ja	okee	wenn	1
sones	tablet	oke	:(	1
emojiQheavyBlackHeart	hahaha	okidoki	:)	1
ishes	ganz	okay	redactedQ14tokens83characters	1
film	glueget	oki	:-)	1
redactedQ10tokens54characters	Ah	oke	,	1
neus	isch	oke	?	1
nur	villicht	oke	emojiQokHandSign	1
redactedQ3tokens14characters	Hmm	okk	:/	1
sind	alli	oke	gsi	1
emojiQheavyBlackHeart	emojiQheavyBlackHeart	okee	tv	1
redactedQ4tokens23characters	Ja	okay	^^	1
haha	..	oke	ich	1
<	hahah	okk	das	1
habbere	..	okay	.	1
im	briefkaste	oke	merci	1
redactedQ4tokens23characters	redactedQ3tokens17characters	oki	:)	1
redactedQ12tokens50characters	Haha	okey	redactedQ20tokens98characters	1
emojiQgrinningFaceWithSmilingEyes	ah	oki	schrib	1
?	redactedQ3tokens15characters	oki	aso	1
training	21:15	oki	?	1
als	ich	okee	schiick	1
in	grosse	okay	.	1
am	luegä	okay	ouh	1
deheu	bi	oki	?	1
redactedQ8tokens42characters	Ahh	okk	redactedQ1tokens3characters	1
Fett	Gaht	okay	redactedQ37tokens186characters	1
emojiQsmirkingFace	ahaa	okay	:)	1
redactedQ5tokens32characters	:-D	okay	^^	1
no	luegä	okay	bus	1
emojiQfaceWithTearsOfJoy	haha	oke	demfall	1
us	!	okay	luegsch	1
Hahaha	hahahahha	okay	emojiQfaceWithTearsOfJoy	1
redactedQ3tokens11characters	Wenns	oke	usch	1
abgschlosse	aha	okay	:)	1
voll	:)	okee	:))	1
emojiQseeNoEvilMonkey	redactedQ5tokens21characters	okidoki	emojiQseeNoEvilMonkey	1
dir	shriv	oke	?	1
:)	hahah	oki	:)	1
haha	emojiQblueHeart	okee	:)	1
ihm	hahahhaha	oke	emojiQwinkingFace	1
okee	Haha	oke	Söll	1
englisch	Haha	oke	Ich	1
erst	spöter	okee	super	1
redactedQ63tokens313characters	Ah	oke	60.-	1
redactedQ5tokens22characters	redactedQ1tokens2characters	oki	das	1
jetzt	:)	oki	emojiQtwoHearts	1
vlt	verlernt	oke	ich	1
kouft	:P	okay	?	1
emojiQloudlyCryingFace	mediaQremoved	oke	ich	1
Han	gfrogt	okay	isch	1
emojiQseeNoEvilMonkey	jaa	okee	:)	1
chochä	!	okay	mach	1
hahaha	haaha	okee	mediaQremoved	1
heichömed	oh	oke	en	1
redactedQ5tokens24characters	Hahaha	oki	emojiQkissMark	1
Wochenänd	wär	okey	?	1
moment	ush	oke	redactedQ2tokens8characters	1
mediaQremoved	aaah	okay	emojiQwhiteSmilingFace	1
emojiQsmilingFaceWithSmilingEyes	hm	okay	emojiQwhiteSmilingFace	1
der	grad	oke	sheiss	1
redactedQ19tokens95characters	Ah	okay	...	1
redactedQ15tokens77characters	Ahha	oki	emojiQheavyBlackHeart	1
emojiQflushedFace	emojiQokHandSign	oki	redactedQ2tokens10characters	1
temporär	?!	okey	und	1
..	hahah	okay	haha	1
ja	chash	oki	ich	1
redactedQ4tokens18characters	Ah	oke	xD	1
redactedQ13tokens72characters	Haha	okey	Haltisch	1
gester	:)	oki	:)	1
isch	doch	okay	.	1
am	choche	oke	trozdem	1
abholä	?	oki	bin	1
email	.	okey	So	1
postä	!	okay	aber	1
Also	lug	oke	wart	1
:	[UserName]	okk	mercii	1
ish	Aber	okay	^^	1
ah	ike	oke	hahahaa	1
kontakt	achsoo	oke	wart	1
abers	ish	okidoki	:-P	1
es	halbs	okay	.	1
haha	jaa	okee	^^	1
haha	jap	okay	:)	1
haha	jaa	okay	gymi	1
Granny	tzz	oke	denn	1
haha	ouu	okee	:))	1
:)	redactedQ8tokens35characters	okee	denn	1
fendes	ganz	okey	so	1
chum	...	okay	jo	1
heft	:)	okee	:)	1
eus	weekenf	oki	muss	1
redactedQ19tokens98characters	redactedQ7tokens31characters	oki	.	1
emojiQwinkingFace	hahah	okk	goodnight	1
pommes	!!!	okay	i	1
redactedQ4tokens18characters	Jaa	oke	nei	1
redactedQ5tokens25characters	Ach	okay	Demfall	1
nope	hmmm	oke	aber	1
Sorry	scho	okay	.	1
rundi	.	okay	wie	1
city	...	okay	i	1
mach	nüt	okk	hör	1
kaputt	emojiQfaceWithStuckOutTongueAndWinkingEye	okay	.	1
juli	Isch	oke	.	1
redactedQ4tokens18characters	Ah	okey	Hei	1
redactedQ6tokens38characters	Ah	okay	mediaQremoved	1
célestine	emojiQheavyBlackHeart	oki	:)	1
nein	Hahah	okk	mediaQremoved	1
dini	zahl	oki	das	1
emojiQflushedFace	emojiQfaceWithTearsOfJoy	oke	falshi	1
redactedQ2tokens9characters	Isch	oke	wenn	1
abholä	,	okay	?	1
emojiQsparklingHeart	emojiQheavyBlackHeart	oki	:))	1
demenz	Haha	oke	Wetsch	1
redactedQ1tokens1characters	Jaa	okee	redactedQ1tokens9characters	1
gloset	!	okay	denn	1
min	insta	okee	also	1
emojiQheavyBlackHeart	emojiQsparklingHeart	oki	:)	1
hani	gseit	oke	egal	1
emojiQsmirkingFace	ohaa	oke	:D	1
:))	emojiQheavyBlackHeart	okee	:))	1
emojiQgrinningFaceWithSmilingEyes	Hahahaha	oki	Selli	1
gsi	Haha	okee	Mini	1
isch	haaaammmeeerr	okay	...	1
emojiQsmilingFaceWithSmilingEyes	hehe	okay	:)	1
;)	Hehe	okee	Willsch	1
schriebe	Hm	oke	...	1
)	redactedQ7tokens25characters	oki	!	1
nd	gseit	okay	emojiQfaceWithTearsOfJoy	1
viel	ahahaha	oki	das	1
Haha	jaa	oke	verstahni	1
redactedQ27tokens134characters	Ah	okay	:)	1
?	redactedQ1tokens3characters	okee	emojiQthumbsUpSign	1
mier	us	oke	denn	1
kaff	irwo	oke	emojiQseeNoEvilMonkey	1
jaaa	easy	oki	emojiQsmilingFaceWithOpenMouthAndSmilingEyes	1
emojiQfaceWithTearsOfJoy	hahah	oke	;)	1
suscht	isch	oke	xi	1
redactedQ4tokens22characters	Ah	oke	..	1
drüber	rese	okee	emojiQdisappointedFace	1
zwei	bilder	okay	:D	1
Hmm	jaaa	okee	ich	1
treffpunkt	grüental	okay	15	1
eier	"	oke	emojiQwhiteSmilingFace	1
esch	einigermasse	okey	gange	1
redactedQ13tokens58characters	Ah	oke	..	1
wach	!	oki	guet	1
redactedQ17tokens75characters	Hahahaha	oke	:D	1
Seisch	echt	okee	?	1
...	emojiQfaceWithStuckOutTongueAndTightlyClosedEyes	okay	naja	1
:)	Ah	oke	mediaQremoved	1
Hahaha	sho	oke	Gahah	1
wohnhilf	aah	okay	.	1
warm	Oh	oke	Aber	1
entsheidig	jaa	okee	bro	1
Nei	isch	oke	:))	1
!!	emojiQsmilingFaceWithHeartShapedEyes	okee	:)	1
Esch	demfau	okey	wenn	1
:)	ahh	okee	emojiQsmilingFaceWithHorns	1
Is	Pepsi	okay	?	1
nöö	gester	okay	was	1
weg	Aaah	oke	,	1
bide	zollstrass	okee	gömer	1
redactedQ5tokens31characters	Ah	okay	...	1
go	!	okay	vermurtlich	1
unterwegs	hei	okay	.	1
redactedQ2tokens4characters	Hahaha	oki	:)	1
redactedQ4tokens21characters	Hahaha	oki	redactedQ1tokens1characters	1
wandere	emojiQfaceWithTearsOfJoy	okee	^^	1
emojiQfaceWithTearsOfJoy	hahah	okay	Haha	1
bruchet	motivation	oke	linda	1
mhmm	://	okee	hä	1
wach	bin	oke	..	1
mediaQremoved	mediaQremoved	oke	lieber	1
redactedQ19tokens101characters	Ah	oke	emojiQsmilingFaceWithSmilingEyes	1
emojiQsmilingFaceWithOpenMouthAndSmilingEyes	Scho	okey	emojiQwinkingFace	1
redactedQ12tokens71characters	Ah	okay	:/	1
redactedQ3tokens13characters	Ah	okay	...	1
lager	gang	oki	?	1
Jaja	Turnhalle	oke	denn	1
want	it	okay	meme	1
nötig	ahh	oke	und	1
NNN	isch	okay	Goht	1
Alright	emojiQthumbsUpSign	okay	In	1
redactedQ4tokens18characters	Ahhaha	oki	redactedQ1tokens2characters	1
zahlt	!!	okay	.	1
redactedQ29tokens169characters	Ah	okay	,	1
shuel	emojiQgrinningFaceWithSmilingEyes	oki	bebe	1
,	aber	okey	emojiQwinkingFace	1
:')	hahahha	okay	emojiQfaceWithTearsOfJoy	1
chlini	haha	okk	also	1
gschiggt	emojiQtwoHearts	okee	:))	1
isch	voll	oke	Ich	1
machä	....	okay	.	1
de	tramhaltesstell	oke	danke	1
redactedQ5tokens25characters	Ah	okidoki	^^	1
?	Eigentlich	okay	.	1
besser	...	oki	:)	1
sho	emojiQfaceWithTearsOfJoy	oke	de	1
redactedQ3tokens9characters	Hahah	oke	wart	1
zur	haupstrass	oke	egal	1
redactedQ6tokens24characters	Haha	okay	redactedQ3tokens17characters	1
redactedQ6tokens28characters	haha	oke	gib	1
emojiQokHandSign	Hahah	oki	wart	1
redactedQ26tokens122characters	Ah	okay	emojiQsmilingFaceWithOpenMouth	1
redactedQ8tokens47characters	Hahahaha	oki	ich	1
redactedQ4tokens17characters	Ah	oki	Vel	1
redactedQ2tokens8characters	Haha	oki	emojiQsmilingFaceWithOpenMouthAndSmilingEyes	1
meinig	!	okk	mercii	1
lager	!	okay	hahaha	1
sho	sorry	oke	die	1
emojiQheavyBlackHeart	ah	oki	:)	1
redactedQ6tokens22characters	Ahh	oki	^^	1
früehner	!!!	okay	i	1
elektroswing	isch	okee	han	1
nöd	Isch	okay	.	1
redactedQ2tokens4characters	Ah	okey	Mer	1
glaufe	.	oki	und	1
shittt	oke	oke	oke	1
redactedQ11tokens53characters	emojiQdisappointedButRelievedFace	okidoki	do	1
emojiQspeakNoEvilMonkey	emojiQrevolvingHearts	oki	:	1
egal	isch	okay	Gane	1
Seg	jetz	okay	:D	1
emojiQgreenHeart	emojiQheavyBlackHeart	oki	i	1
emojiQgreenHeart	emojiQheavyBlackHeart	oki	:)	1
blettär	fötele	okee	schicks	1
redactedQ1tokens2characters	redactedQ6tokens26characters	okay	redactedQ6tokens31characters	1
daaa	on	oki	?	1
hahahahah	redactedQ2tokens11characters	okay	no	1
wenn	fertig	oki	de	1
ahhh	sorry	okay	bisch	1
morn	ouu	okk	bisch	1
redactedQ3tokens17characters	Hahah	oke	:D	1
!!!	instagram.com/mateomenschen	oki	:0	1
davo	ab	oke	nei	1
emojiQexpressionlessFace	haha	okay	aber	1
en	wisse	oke	ich	1
redactedQ4tokens17characters	Ah	okay	...	1
möngi	emojiQfaceWithTearsOfJoy	oke	?	1
Eifach	so	okee	Zu	1
..	Jaaa	okee	stimmt	1
...	au	okay	.	1
emojiQsmilingFaceWithHeartShapedEyes	ja	oke	mir	1
emojiQheavyBlackHeart	ah	okee	scho	1
Nonix	:)	oki	:)	1
:))	Alright	okay	Alright	1
verlauf	?	oki	wart	1
redactedQ10tokens48characters	Hmm	oke	ja	1
redactedQ4tokens23characters	Hahah	oki	emojiQwhiteSmilingFace	1
:**	gaanz	oke	und	1
Hör	uf	okee	shribe	1
emojiQseeNoEvilMonkey	Hahha	oki	emojiQwhiteSmilingFace	1
redactedQ5tokens26characters	Hmm	okay	Naja	1
shlecht	ah	oke	seg	1
ahnig	emojiQdisappointedFace	oki	seg	1
nah	Hahah	okee	sorry	1
._.	ah	okay	:)	1
Mhh	jaa	oke	stimmt	1
;)	Hahha	oke	stimmt	1
redactedQ49tokens223characters	ahh	okey	emojiQthumbsUpSign	1
am	sterbe	oke	kei	1
emojiQgreenHeart	emojiQheavyBlackHeart	oki	träum	1
kopf	shlah	oke	aber	1
?	Usser	oki	?	1
chash	hmm	oke	lüt	1
redactedQ2tokens7characters	Ahah	oke	redactedQ3tokens7characters	1
mediaQremoved	Haha	okey	itz	1
!	emojiQgrinningFaceWithSmilingEyes	okay	.	1
-.-	ouu	okee	ich	1
darf	^^	okee	^	1
)	ah	oke	demfall	1
mittag	phone	oki	?	1
heii	fahree	okee	:)	1
primar	ja	oke	stimmt	1
redactedQ5tokens30characters	Ah	oke	,	1
Gaht	sho	oki	doki	1
yannick	emojiQthumbsUpSign	okay	Ussert	1
redactedQ1tokens3characters	Ah	oke	be	1
andere	mache	oki	?	1
