1_id	1_span	1_anno_tok:abbrev	1_anno_tok:gloss	1_anno_tok:mftb_lem	1_anno_tok:mftb_pos	1_anno_tok:pos	1_anno_tok:tt_lem	1_anno_tok:tt_pos	2_id	2_span	2_anno_tok:gloss	2_anno_tok:mftb_lem	2_anno_tok:mftb_pos
8546959	:)	'NULL'	:)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8546961	okee	'NULL'	'NULL'	'NULL'
8547721	haa	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8547722	okee	'NULL'	'NULL'	'NULL'
8547752	ahh	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8547753	okee	'NULL'	'NULL'	'NULL'
8550068	hahah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8550069	okk	'NULL'	'NULL'	'NULL'
8552412	?	'NULL'	?	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8552414	okee	'NULL'	'NULL'	'NULL'
8552565	worde	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8552567	okay	'NULL'	'NULL'	'NULL'
8552683	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8552684	okay	'NULL'	'NULL'	'NULL'
8554857	bilder	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8554859	okay	'NULL'	'NULL'	'NULL'
8556348	..	'NULL'	..	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8556350	okay	'NULL'	'NULL'	'NULL'
8556685	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8556686	okay	'NULL'	'NULL'	'NULL'
8558459	hahah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8558460	okay	'NULL'	'NULL'	'NULL'
8559603	hahha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8559604	okay	'NULL'	'NULL'	'NULL'
8560125	..	'NULL'	..	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8560127	okee	'NULL'	'NULL'	'NULL'
8560300	jaaa	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8560301	okee	'NULL'	'NULL'	'NULL'
8560321	hahahha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8560322	okay	'NULL'	'NULL'	'NULL'
8560516	Haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8560517	okay	'NULL'	'NULL'	'NULL'
8560551	:/	'NULL'	:/	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8560553	oki	'NULL'	'NULL'	'NULL'
8560815	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8560816	okee	'NULL'	'NULL'	'NULL'
8560835	frag	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8560837	okk	'NULL'	'NULL'	'NULL'
8560997	hahah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8560998	okay	'NULL'	'NULL'	'NULL'
8561149	hahah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8561150	okay	'NULL'	'NULL'	'NULL'
8561206	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8561207	okk	'NULL'	'NULL'	'NULL'
8561509	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8561510	oki	'NULL'	'NULL'	'NULL'
8561660	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8561661	okk	'NULL'	'NULL'	'NULL'
8561731	leonie	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8561733	okk	'NULL'	'NULL'	'NULL'
8561757	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8561758	okk	'NULL'	'NULL'	'NULL'
8561766	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8561767	okay	'NULL'	'NULL'	'NULL'
8562858	hehhehe	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8562859	okay	'NULL'	'NULL'	'NULL'
8563775	nüt	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8563777	okk	'NULL'	'NULL'	'NULL'
8563944	hahaha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8563945	okk	'NULL'	'NULL'	'NULL'
8563957	rese	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8563959	okee	'NULL'	'NULL'	'NULL'
8564313	ahh	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8564314	okk	'NULL'	'NULL'	'NULL'
8564608	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8564609	okk	'NULL'	'NULL'	'NULL'
8565226	ahaa	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8565227	okay	'NULL'	'NULL'	'NULL'
8565732	!	'NULL'	!	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8565734	okk	'NULL'	'NULL'	'NULL'
8565763	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8565764	okk	'NULL'	'NULL'	'NULL'
