Farbe;Dokumentname;Code;Gewicht;Segment;Erstellt von;Erstellt am;Kommentar;Dokumentgruppe;Fläche;Abdeckungsgrad %;Anfang;Ende
●;judenbuche;friedrich;0;»Warte, Johannes,« sagte Friedrich stolz, »ich will dir mein halbes;guhl;22.05.24 16:57:57;;;67;0.06;503;503
●;judenbuche;friedrich;0;Friedrich, geh nicht mit ihm, hörst du, geht nicht;guhl;22.05.24 16:57:57;;;50;0.05;511;511
●;judenbuche;friedrich;0;antwortete Friedrich.;guhl;22.05.24 16:57:57;;;21;0.02;513;513
●;judenbuche;friedrich;0;Friedrich stand vor ihr und hatte sie schon zweimal;guhl;22.05.24 16:57:57;;;51;0.05;520;520
●;judenbuche;friedrich;0;Friedrich hob sie auf.;guhl;22.05.24 16:57:57;;;22;0.02;524;524
●;judenbuche;friedrich;0;Von dieser Zeit an war Friedrich selten mehr zu Hause.;guhl;22.05.24 16:57:57;;;54;0.05;546;546
●;judenbuche;friedrich;0;Wegbau, wobei Friedrich für einen seiner besten Arbeiter und überall;guhl;22.05.24 16:57:57;;;68;0.06;555;555
●;judenbuche;friedrich;0;In seinem achtzehnten Jahre hatte Friedrich sich bereits einen;guhl;22.05.24 16:57:57;;;62;0.06;566;566
●;judenbuche;friedrich;0;Umständen zog, da Friedrich immer mehr auf sein Äußeres verwandte und;guhl;22.05.24 16:57:57;;;69;0.07;571;571
●;judenbuche;friedrich;0;Friedrich lag im;guhl;22.05.24 16:57:57;;;16;0.02;628;628
●;judenbuche;friedrich;0;"Friedrich achtete nicht darauf; nur zuweilen, wenn das Getöse";guhl;22.05.24 16:57:57;;;61;0.06;644;644
●;judenbuche;friedrich;0;Friedrich war an;guhl;22.05.24 16:57:57;;;16;0.02;650;650
●;judenbuche;friedrich;0;»Friedrich, was war das?« fragte der zuerst Erschienene.;guhl;22.05.24 16:57:57;;;56;0.05;668;668
●;judenbuche;friedrich;0;Friedrich fort und stieß nach dem Hunde.;guhl;22.05.24 16:57:57;;;40;0.04;673;673
●;judenbuche;friedrich;0;Friedrich, stell dich nicht;guhl;22.05.24 16:57:57;;;27;0.03;673;673
●;judenbuche;friedrich;0;»Friedrich,« sagte er mit dem Ton unterdrückter;guhl;22.05.24 16:57:57;;;47;0.04;685;685
●;judenbuche;friedrich;0;Friedrich griff krampfhaft nach einem Aste.;guhl;22.05.24 16:57:57;;;43;0.04;691;691
●;judenbuche;friedrich;0;schritt dem Gebüsche zu -- »Nein, Herr,« rief Friedrich, »wenn Ihr zu;guhl;22.05.24 16:57:57;;;69;0.07;707;707
●;judenbuche;friedrich;0;Friedrich hatte die ganze;guhl;22.05.24 16:57:57;;;25;0.02;714;714
●;judenbuche;friedrich;0;Friedrichs Gesicht hatte während dieses allmählichen Verschwindens den;guhl;22.05.24 16:57:57;;;70;0.07;722;722
●;judenbuche;friedrich;0;Friedrich;guhl;22.05.24 16:57:57;;;9;0.01;728;728
●;judenbuche;friedrich;0;-- Friedrich war krank;guhl;22.05.24 16:57:57;;;22;0.02;731;731
●;judenbuche;friedrich;0;»Mutter!« rief Friedrich aus der Kammer.;guhl;22.05.24 16:57:57;;;40;0.04;740;740
●;judenbuche;friedrich;0;»Mutter!« rief Friedrich.;guhl;22.05.24 16:57:57;;;25;0.02;745;745
●;judenbuche;friedrich;0;-- Friedrich richtete sich;guhl;22.05.24 16:57:57;;;26;0.02;746;746
●;judenbuche;friedrich;0;-- Friedrich legte sich wieder hin.;guhl;22.05.24 16:57:57;;;35;0.03;748;748
●;judenbuche;friedrich;0;»Wo ist Friedrich?«;guhl;22.05.24 16:57:57;;;19;0.02;755;755
●;judenbuche;friedrich;0;Friedrich saß aufrecht im Bette, das Gesicht in die Hände gedrückt,;guhl;22.05.24 16:57:57;;;67;0.06;777;777
●;judenbuche;friedrich;0;Friedrich, wie ist dir?« sagte die;guhl;22.05.24 16:57:57;;;34;0.03;778;778
●;judenbuche;friedrich;0;-- Friedrich, Friedrich, antworte doch, soll ich;guhl;22.05.24 16:57:57;;;48;0.05;782;782
●;judenbuche;friedrich;0;Friedrich um vier zu Hause kam und nicht wieder fortging?«;guhl;22.05.24 16:57:57;;;58;0.06;789;789
●;judenbuche;friedrich;0;"Friedrich, wie ist dir?« sagte die Mutter; »hast du";guhl;22.05.24 16:57:57;;;51;0.05;796;796
●;judenbuche;friedrich;0;"»Friedrich,« stotterte er, »du sollst sogleich zum Ohm kommen; er hat";guhl;22.05.24 16:57:57;;;69;0.07;803;803
●;judenbuche;friedrich;0;-- Friedrich drehte sich gegen die;guhl;22.05.24 16:57:57;;;34;0.03;804;804
●;judenbuche;friedrich;0;Friedrich lachte höhnisch auf:;guhl;22.05.24 16:57:57;;;30;0.03;808;808
●;judenbuche;friedrich;0;"Sie ging auf einige Minuten hinaus; als sie zurückkam, war Friedrich";guhl;22.05.24 16:57:57;;;68;0.06;810;810
●;judenbuche;friedrich;0;Auftritt mit Friedrich.;guhl;22.05.24 16:57:57;;;23;0.02;842;842
●;judenbuche;friedrich;0;Friedrich ward hereingerufen.;guhl;22.05.24 16:57:57;;;29;0.03;870;870
●;judenbuche;friedrich;0;Stunden Weges von der Schlucht, in der er Friedrich um vier Uhr;guhl;22.05.24 16:57:57;;;63;0.06;878;878
●;judenbuche;friedrich;0;der Hand hinter sich und brachte etwas Blinkendes vor Friedrichs Auge.;guhl;22.05.24 16:57:57;;;70;0.07;885;885
●;judenbuche;friedrich;0;-- Friedrich sprang drei Schritt zurück.;guhl;22.05.24 16:57:57;;;40;0.04;886;886
●;judenbuche;friedrich;0;Friedrich faßte sie mit der Hand, besah sie;guhl;22.05.24 16:57:57;;;43;0.04;892;892
●;judenbuche;friedrich;0;Am nächsten Sonntage stand Friedrich sehr früh auf, um zur Beichte zu;guhl;22.05.24 16:57:57;;;69;0.07;913;913
●;judenbuche;friedrich;0;Friedrich und verhielt sich ganz still.;guhl;22.05.24 16:57:57;;;39;0.04;924;924
●;judenbuche;friedrich;0;Friedrich, wohin?« flüsterte;guhl;22.05.24 16:57:57;;;28;0.03;924;924
●;judenbuche;friedrich;0;»Das will ich«, sagte Friedrich.;guhl;22.05.24 16:57:57;;;32;0.03;927;927
●;judenbuche;friedrich;0;"Ohm, wie kommt Ihr darauf?« sagte Friedrich dann;";guhl;22.05.24 16:57:57;;;49;0.05;931;931
●;judenbuche;friedrich;0;-- Friedrich stand beklemmt und;guhl;22.05.24 16:57:57;;;31;0.03;940;940
●;judenbuche;friedrich;0;»Ich habe schwere Schuld,« seufzte Friedrich, »daß ich ihn den unrechten;guhl;22.05.24 16:57:57;;;72;0.07;943;943
●;judenbuche;friedrich;0;"Friedrich stand unschlüssig; er hörte ein leises Geräusch; die Wolken";guhl;22.05.24 16:57:57;;;69;0.07;950;950
●;judenbuche;friedrich;0;Friedrich ging an diesem Morgen nicht zur Beichte.;guhl;22.05.24 16:57:57;;;50;0.05;952;952
●;judenbuche;friedrich;0;Eindruck, den dieser Vorfall auf Friedrich gemacht, erlosch leider nur;guhl;22.05.24 16:57:57;;;70;0.07;953;953
●;judenbuche;friedrich;0;Und in Friedrich lagen;guhl;22.05.24 16:57:57;;;22;0.02;955;955
●;judenbuche;friedrich;0;"Friedrich ward desto lauter; er versäumte keine Kirchweih oder";guhl;22.05.24 16:57:57;;;62;0.06;968;968
●;judenbuche;friedrich;0;Worten war als Friedrich und immer, wenn der Stachel saß, einen Scherz;guhl;22.05.24 16:57:57;;;70;0.07;981;981
●;judenbuche;friedrich;0;daraus zu machen wußte, so war dies der einzige mit dem Friedrich ungern;guhl;22.05.24 16:57:57;;;72;0.07;982;982
●;judenbuche;friedrich;0;Friedrich stolzierte umher wie ein Hahn, im neuen himmelblauen Rock, und;guhl;22.05.24 16:57:57;;;72;0.07;1008;1008
●;judenbuche;friedrich;0;Friedrich reichte ihm den Bogen, gab durch eine;guhl;22.05.24 16:57:57;;;47;0.04;1014;1014
●;judenbuche;friedrich;0;gespielt, und Friedrich machte Sätze vor den Augen seiner Herrschaft,;guhl;22.05.24 16:57:57;;;69;0.07;1017;1017
●;judenbuche;friedrich;0;-- Friedrich machte seinen;guhl;22.05.24 16:57:57;;;26;0.02;1028;1028
●;judenbuche;friedrich;0;Was ists? was habt ihr mit unserem Johannes?« rief Friedrich;guhl;22.05.24 16:57:57;;;60;0.06;1036;1036
●;judenbuche;friedrich;0;Aber Friedrich trat vor:;guhl;22.05.24 16:57:57;;;24;0.02;1048;1048
●;judenbuche;friedrich;0;»Was hat sie gekostet?« rief Wilm Hülsmeyer, Friedrichs Nebenbuhler.;guhl;22.05.24 16:57:57;;;68;0.06;1061;1061
●;judenbuche;friedrich;0;Willst du sie bezahlen?« fragte Friedrich.;guhl;22.05.24 16:57:57;;;42;0.04;1062;1062
●;judenbuche;friedrich;0;Friedrich warf einen stolzen Blick auf ihn und griff in;guhl;22.05.24 16:57:57;;;55;0.05;1063;1063
●;judenbuche;friedrich;0;Friedrich antwortete nicht, sondern winkte stolz der ersten Violine, und;guhl;22.05.24 16:57:57;;;72;0.07;1067;1067
●;judenbuche;friedrich;0;Friedrich war nicht;guhl;22.05.24 16:57:57;;;19;0.02;1082;1082
●;judenbuche;friedrich;0;Friedrich war wie vernichtet fortgegangen und der Jude ihm gefolgt,;guhl;22.05.24 16:57:57;;;67;0.06;1088;1088
●;judenbuche;friedrich;0;-- »Der Friedrich sah so blaß aus wie ein Tuch«, sagte eine alte Frau,;guhl;22.05.24 16:57:57;;;70;0.07;1094;1094
●;judenbuche;friedrich;0;In derselben Nacht noch wurden die Schützen aufgeboten, um Friedrich zu;guhl;22.05.24 16:57:57;;;71;0.07;1168;1168
●;judenbuche;friedrich;0;Friedrich?« fragte er mit unsicherer Stimme.;guhl;22.05.24 16:57:58;;;44;0.04;1180;1180
●;judenbuche;friedrich;0;Friedrichs Kammer.;guhl;22.05.24 16:57:58;;;18;0.02;1184;1184
●;judenbuche;friedrich;0;Und wo war Friedrich?;guhl;22.05.24 16:57:58;;;21;0.02;1280;1280
●;judenbuche;friedrich;0;daß Ihr lieber Getreuer, Friedrich Mergel, den Juden mag ebensowenig;guhl;22.05.24 16:57:58;;;68;0.06;1291;1291
●;judenbuche;friedrich;0;Friedrich war hin, verschwunden, und --;guhl;22.05.24 16:57:58;;;39;0.04;1307;1307
●;judenbuche;friedrich;0;der einst mit Friedrich Mergel entflohen.;guhl;22.05.24 16:57:58;;;41;0.04;1373;1373
●;judenbuche;friedrich;0;Man fragte ihn, warum Friedrich sich denn aus dem Staube gemacht, da er;guhl;22.05.24 16:57:58;;;71;0.07;1389;1389
●;judenbuche;friedrich;0;ehemaligen Schweinehirten, der an jenem Abende Friedrichs Uhr so sehr;guhl;22.05.24 16:57:58;;;69;0.07;1408;1408
●;judenbuche;friedrich;0;Friedrich dir gesagt?« -- »Nichts, als daß wir laufen müßten, sie wären;guhl;22.05.24 16:57:58;;;71;0.07;1432;1432
●;judenbuche;friedrich;0;"»und Friedrich ein Bündelchen; so glaubte man uns.«";guhl;22.05.24 16:57:58;;;51;0.05;1448;1448
●;judenbuche;friedrich;0;nicht gewollt, aber Friedrich bestand darauf.;guhl;22.05.24 16:57:58;;;45;0.04;1450;1450
●;judenbuche;friedrich;0;"uns ziemlich gut; mir auch, weil Friedrich mich oft erinnerte und mir";guhl;22.05.24 16:57:58;;;69;0.07;1452;1452
●;judenbuche;friedrich;0;-- er deutete auf den Toten -- »war Friedrich Mergel.«;guhl;22.05.24 16:57:58;;;54;0.05;1621;1621
●;judenbuche;simon;0;Simon Semmler war ein kleiner, unruhiger, magerer Mann mit vor dem Kopf;guhl;22.05.24 16:58:18;;;71;0.07;290;290
●;judenbuche;simon;0;»Simon, bist du da?« sagte sie und zitterte, daß sie sich am Stuhle;guhl;22.05.24 16:58:18;;;67;0.06;299;299
●;judenbuche;simon;0;-- Simon betrachtete sie ernst und reichte ihr die Hand:;guhl;22.05.24 16:58:18;;;56;0.05;301;301
●;judenbuche;simon;0;»Aber ich höre, dein Junge ist schlau und gewichst«, fuhr Simon fort.;guhl;22.05.24 16:58:18;;;69;0.07;308;308
●;judenbuche;simon;0;-- Simon lachte;guhl;22.05.24 16:58:18;;;15;0.01;312;312
●;judenbuche;simon;0;gottlob! er hat gerade Glieder.« -- »Wie sieht er aus?« fuhr Simon fort.;guhl;22.05.24 16:58:18;;;72;0.07;320;320
●;judenbuche;simon;0;Er hat viel von dir, Simon, viel.«;guhl;22.05.24 16:58:18;;;34;0.03;321;321
●;judenbuche;simon;0;-- Simon lachte:;guhl;22.05.24 16:58:18;;;16;0.02;321;321
●;judenbuche;simon;0;"Simon schien dies zu überhören; er reckte den Hals zur Türe hinaus:";guhl;22.05.24 16:58:18;;;67;0.06;327;327
●;judenbuche;simon;0;blonde Locken und Simons rötliche Borsten!;guhl;22.05.24 16:58:18;;;42;0.04;332;332
●;judenbuche;simon;0;und Simons Weise war ihr heute einschüchternder vorgekommen als je.;guhl;22.05.24 16:58:18;;;67;0.06;336;336
●;judenbuche;simon;0;es denn dahin, daß nach einer halbstündigen Unterredung Simon eine Art;guhl;22.05.24 16:58:18;;;70;0.07;339;339
●;judenbuche;simon;0;Simon nickte schlau;guhl;22.05.24 16:58:18;;;19;0.02;351;351
●;judenbuche;simon;0;sah Margret den beiden nach, wie sie fortschritten, Simon voran, mit;guhl;22.05.24 16:58:18;;;68;0.06;356;356
●;judenbuche;simon;0;Simon schien;guhl;22.05.24 16:58:18;;;12;0.01;372;372
●;judenbuche;simon;0;Plötzlich fragte Simon:;guhl;22.05.24 16:58:18;;;23;0.02;374;374
●;judenbuche;simon;0;»Betet die Mutter noch so viel?« hob Simon wieder an.;guhl;22.05.24 16:58:18;;;53;0.05;382;382
●;judenbuche;simon;0;So schritten beide rüstig voran, Simon mit dem;guhl;22.05.24 16:58:18;;;46;0.04;396;396
●;judenbuche;simon;0;Simon blieb einen Augenblick stehen;guhl;22.05.24 16:58:18;;;35;0.03;410;410
●;judenbuche;simon;0;ergriff Simon plötzlich des Knaben Arm.;guhl;22.05.24 16:58:18;;;39;0.04;415;415
●;judenbuche;simon;0;»Sieh,« fuhr Simon fort, »hier haben Ohm Franz und der Hülsmeyer deinen;guhl;22.05.24 16:58:18;;;71;0.07;418;418
●;judenbuche;simon;0;Ziegelsteinen, zu denen auch Simons Haus gehörte.;guhl;22.05.24 16:58:18;;;49;0.05;428;428
●;judenbuche;simon;0;ist des Ohms Simon Schweinehirt, der eine Botschaft an den Hülsmeyer;guhl;22.05.24 16:58:18;;;68;0.06;487;487
●;judenbuche;simon;0;"Hause.« -- »Ja, aber er bekommt nichts mehr; Ohm Simon ißt um sieben";guhl;22.05.24 16:58:18;;;68;0.06;506;506
●;judenbuche;simon;0;Simon, Simon, wie willst;guhl;22.05.24 16:58:18;;;24;0.02;516;516
●;judenbuche;simon;0;»Geld vom Ohm Simon, weil ich ihm habe arbeiten;guhl;22.05.24 16:58:18;;;47;0.04;524;524
●;judenbuche;simon;0;Ich kann mir nun selber was verdienen.« -- »Geld vom Simon?;guhl;22.05.24 16:58:18;;;59;0.06;525;525
●;judenbuche;simon;0;hatte, war sie dahin gekommen, zu denken, ihr Bruder Simon könne so;guhl;22.05.24 16:58:18;;;67;0.06;540;540
●;judenbuche;simon;0;Simon schien alle;guhl;22.05.24 16:58:18;;;17;0.02;546;546
●;judenbuche;simon;0;möglich den engen Verschlag, der ihm in Simons Hause eingeräumt war.;guhl;22.05.24 16:58:18;;;68;0.06;917;917
●;judenbuche;simon;0;"die Augen suchend umher und fuhr zusammen; in der Kammertür stand Simon,";guhl;22.05.24 16:58:18;;;72;0.07;920;920
●;judenbuche;simon;0;"geh, beicht!« flüsterte Simon mit bebender Stimme; »verunehre das";guhl;22.05.24 16:58:18;;;65;0.06;946;946
●;judenbuche;simon;0;Wer zweifelt daran, daß Simon alles tat, seinen Adoptivsohn;guhl;22.05.24 16:58:18;;;59;0.06;954;954
●;judenbuche;simon;0;Ohm Simon redete selten von ihm, und dann;guhl;22.05.24 16:58:18;;;41;0.04;1282;1282
●;judenbuche;simon;0;Simon war lange;guhl;22.05.24 16:58:18;;;15;0.01;1394;1394
●;judenbuche;simon;0;Simon;guhl;22.05.24 16:58:18;;;5;0.00;1429;1429
●;judenbuche;herr von s.;0;Herr von S. war auf dem Heimwege verstimmt, die jedesmalige;guhl;22.05.24 16:59:08;;;59;0.06;1096;1096
●;judenbuche;herr von s.;0;Furchtbares Wetter!« sagte Herr von S.;guhl;22.05.24 16:59:09;;;38;0.04;1123;1123
●;judenbuche;herr von s.;0;Der Anklage bedurfte es nicht, da Herr von S. selbst Zeuge;guhl;22.05.24 16:59:09;;;58;0.06;1169;1169
●;judenbuche;herr von s.;0;der Amtsschreiber gerade abwesend war, so betrieb Herr von S. selbst;guhl;22.05.24 16:59:09;;;68;0.06;1173;1173
●;judenbuche;herr von s.;0;"Herr von S. fuhr zurück; er hatte sie";guhl;22.05.24 16:59:09;;;37;0.04;1178;1178
●;judenbuche;herr von s.;0;Herr von S. war tief erschüttert.;guhl;22.05.24 16:59:09;;;33;0.03;1196;1196
